;instance;Baseline;Baseline without Heuristic;Clingcon;Clingo-dl;Heuristic;Heuristic + Parameter Tuning;Next;Slots;Constraints;Constraints + Heuristic;Boundary;Boundary with Horizon;Encoding Tuning;Encoding Tuning v2
0;1_3_18_L.lp;o;o;x;o;o;x;x;x;o;o;x;x;o;o
1;2_3_24_L.lp;o;o;x;x;o;x;o;x;o;o;x;o;o;o
2;3_3_28_L.lp;x;o;x;x;x;x; ;x;o;x;x; ;x;x
3;4_3_5_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
4;5_3_47_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
5;6_3_32_L.lp;x;o;x;x;x;x;x;x;x;x;x; ;o;o
6;7_3_10_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
7;8_3_28_L.lp;x;x;x;x;x;x;x;x;o;x;x; ;x;x
8;9_3_18_L.lp;o;o;o;o;o;o;o;x;o;o;o;o;o;o
9;10_3_20_L.lp;o;o;x;o;o;x;x;x;o;o;x; ;o;o
10;11_3_19_L.lp;o;o;x;x;o;x;o;x;o;o;x;x;o;o
11;12_3_25_L.lp;o;x;x;x;x;x;x;x;o;o;x; ;o;o
12;13_3_15_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
13;14_3_29_L.lp;o;o;x;o;x;x;x;x;o;o;x; ;o;o
14;15_3_32_L.lp;x;x;x;x;x;x;x;x;o;x;x; ;x;x
15;16_3_45_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
16;17_3_40_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
17;18_3_31_L.lp;x;o;x;x;x;o;x;x;o;x;x; ;x;x
18;19_3_30_L.lp;o;o;x;x;x;x; ;x;x;o;x; ;o;o
19;20_3_7_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
20;21_3_9_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
21;22_3_10_L.lp;o;o;o;o;o;o;o;o;o;o;o;o;o;o
22;23_3_44_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
23;24_3_41_L.lp;o;x;x;x;x;x;x;x;x;o;x; ;o;o
24;25_3_33_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
25;26_3_29_L.lp;o;x;x;x;x;x; ;x;o;o;x; ;o;o
26;27_3_42_L.lp;o;x;x;x;x;x;x;x;x;o;x; ;o;o
27;28_3_28_L.lp;o;x;x;x;x;x;x;x;o;o;x;o;o;o
28;29_3_34_L.lp;o;x;x;x;x;x;x;x;x;x;x; ;o;o
29;30_3_24_L.lp;x;o;x;x;x;x; ;x;o;x;x; ;x;x
30;31_3_30_L.lp;o;x;x;x;x;x;x;x;x;x;x; ;o;o
31;32_3_26_L.lp;x;x;x;x;x;x;x;x;x;x;x; ;x;x
