;instance;best makespan;worst makespan;best encodings;worst encodings;best result
0;1_3_18_L.lp;1632;3139;"['Baseline' 'Baseline without Heuristic' 'Clingo-dl' 'Heuristic'
 'Constraints' 'Constraints + Heuristic' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";['Clingcon'];OPTIMAL
1;2_3_24_L.lp;3137;6164;"['Baseline' 'Baseline without Heuristic' 'Heuristic' 'Next' 'Constraints'
 'Constraints + Heuristic' 'Boundary with Horizon' 'Encoding Tuning'
 'Encoding Tuning v2']";['Clingcon'];OPTIMAL
2;3_3_28_L.lp;2721;7071;['Baseline without Heuristic' 'Constraints'];['Clingcon'];OPTIMAL
3;4_3_5_L.lp;665;665;"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";OPTIMAL
4;5_3_47_L.lp;4874;15175;['Baseline' 'Constraints + Heuristic' 'Encoding Tuning'];['Clingcon'];FEASIBLE
5;6_3_32_L.lp;3220;7376;['Baseline without Heuristic' 'Encoding Tuning' 'Encoding Tuning v2'];['Clingcon'];OPTIMAL
6;7_3_10_L.lp;1338;1338;"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";OPTIMAL
7;8_3_28_L.lp;2547;8058;['Baseline without Heuristic' 'Constraints'];['Clingcon'];FEASIBLE
8;9_3_18_L.lp;2325;2325;"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";"['Baseline' 'Baseline without Heuristic' 'Clingcon' 'Clingo-dl'
 'Heuristic' 'Heuristic + Parameter Tuning' 'Next' 'Slots' 'Constraints'
 'Constraints + Heuristic' 'Boundary' 'Boundary with Horizon'
 'Encoding Tuning' 'Encoding Tuning v2']";OPTIMAL
9;10_3_20_L.lp;2037;4984;"['Baseline' 'Baseline without Heuristic' 'Clingo-dl' 'Heuristic'
 'Heuristic + Parameter Tuning' 'Constraints' 'Constraints + Heuristic'
 'Encoding Tuning' 'Encoding Tuning v2']";['Clingcon'];OPTIMAL
