;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3719, 3684, 3335, 2808, 2702, 2580, 2539, 2515, 2428, 2344, 2294, 2267, 2163, 2146, 2010, 1957, 1954, 1865, 1841, 1837, 1804, 1795, 1794, 1792, 1777, 1756, 1755, 1719, 1718, 1692, 1690, 1687, 1668, 1651, 1650, 1645, 1633, 1632];OPTIMAL;38;False;4.257;0.073
1;2_3_24_L.lp.out;[5981, 5977, 5472, 5150, 4736, 4684, 4587, 4347, 4341, 4181, 4059, 3991, 3973, 3753, 3653, 3622, 3583, 3568, 3564, 3553, 3529, 3470, 3430, 3427, 3419, 3418, 3383, 3366, 3349, 3334, 3292, 3261, 3247, 3224, 3199, 3187, 3181, 3177, 3176, 3154, 3152, 3151, 3137];OPTIMAL;43;False;20.165;0.0
2;3_3_28_L.lp.out;[5352, 4940, 4690, 4677, 4676, 4599, 4356, 4322, 4319, 4289, 4231, 4229, 4183, 4146, 4135, 4124, 4018, 3915, 3904, 3826, 3795, 3788, 3773, 3764, 3760, 3757, 3733, 3683, 3669, 3652, 3633, 3626, 3601, 3549, 3545, 3509, 3496, 3384, 3333, 3332, 3295, 3293, 3286, 3281, 3250, 3224, 3151, 2996, 2995, 2960, 2933, 2924, 2885, 2867, 2851, 2839, 2830, 2816, 2809, 2807, 2804, 2797, 2794, 2768, 2728, 2721];OPTIMAL;66;False;100.11;2.675
3;4_3_5_L.lp.out;[1443, 1414, 951, 877, 848, 665];OPTIMAL;6;False;0.026;0.001
4;5_3_47_L.lp.out;[7467, 7397];FEASIBLE;2;True;299.999;0.0
5;6_3_32_L.lp.out;[7265, 7241, 7205, 6354, 6134, 6104, 5970, 5846, 5843, 5652, 5636, 5288, 5161, 5049, 5016, 4990, 4972, 4923, 4898, 4884, 4826, 4803, 4753, 4744, 4671, 4620, 4595, 4594, 4445, 4419, 4326, 4281, 4263, 4262, 4252, 4226, 4207, 4158, 4131, 4085, 4072, 4071, 4045, 4043, 4015, 3997, 3969, 3900, 3898, 3897, 3827, 3815, 3806, 3783, 3772, 3768, 3739, 3729, 3725, 3719, 3665, 3648, 3634, 3606, 3582, 3578, 3577, 3550, 3545, 3536, 3534, 3522, 3519, 3510, 3507, 3504, 3490, 3488, 3483, 3455, 3444, 3382, 3381, 3378, 3376, 3370, 3362, 3359, 3330];FEASIBLE;89;True;299.961;0.0
6;7_3_10_L.lp.out;[2005, 1877, 1788, 1716, 1550, 1533, 1478, 1385, 1381, 1338];OPTIMAL;10;False;0.081;0.0
7;8_3_28_L.lp.out;[6563, 6551, 6548, 6426, 6291, 6188, 6185, 6151, 6044, 6032, 6030, 5618, 5255, 4968, 4866, 4656, 4533, 4289, 4278, 4277, 4230, 4020, 3887, 3828, 3735, 3715, 3709, 3694, 3687, 3675, 3623, 3592, 3541, 3523, 3471, 3442, 3432, 3423, 3392, 3391, 3345, 3327, 3312, 3299, 3172, 3139, 3134, 3129, 3127, 3079, 3071, 3070, 3042, 3039, 3002, 2978, 2974, 2970, 2874, 2851, 2832, 2824, 2817, 2816, 2799, 2789, 2784, 2776, 2749, 2746, 2745, 2742, 2728, 2714, 2705, 2699, 2669, 2659, 2648, 2643, 2598, 2581, 2562, 2558, 2553, 2547];OPTIMAL;86;False;288.129;21.049
8;9_3_18_L.lp.out;[4002, 3655, 3567, 3420, 3196, 2820, 2776, 2719, 2654, 2649, 2632, 2616, 2611, 2577, 2542, 2411, 2403, 2402, 2381, 2367, 2325];OPTIMAL;21;False;0.842;0.001
9;10_3_20_L.lp.out;[4528, 4479, 4429, 3529, 3175, 3158, 3131, 2991, 2920, 2898, 2669, 2614, 2568, 2558, 2408, 2398, 2387, 2275, 2229, 2224, 2210, 2208, 2194, 2166, 2163, 2159, 2157, 2153, 2136, 2129, 2125, 2122, 2063, 2060, 2057, 2037];OPTIMAL;36;False;5.849;0.045
10;11_3_19_L.lp.out;[4491, 4406, 4188, 3796, 3780, 3643, 3233, 3142, 3040, 2825, 2778, 2774, 2646, 2612, 2602, 2599, 2594, 2558, 2551, 2541, 2509, 2496, 2477, 2423, 2413, 2408, 2364, 2360, 2345, 2327, 2297, 2273, 2247, 2241, 2238, 2234, 2227, 2220, 2212, 2197, 2196, 2179, 2171, 2154, 2135, 2120, 2109, 2091, 2090, 2054, 2041, 2022, 2010, 2001, 1990];OPTIMAL;55;False;4.068;0.319
11;12_3_25_L.lp.out;[5960, 5921, 4880, 4364, 4061, 3902, 3858, 3838, 3818, 3758, 3713, 3706, 3681, 3639, 3625, 3604, 3563, 3552, 3527, 3517, 3505, 3501, 3497, 3489, 3465, 3409, 3375, 3362, 3335, 3327, 3317, 3281, 3278, 3262, 3261, 3233, 3231, 3225, 3213, 3209, 3162, 3161, 3157, 3152, 3148, 3144, 3115, 3086, 3070, 3058, 3035, 3027, 3019, 3012, 3006, 2985, 2984, 2978];OPTIMAL;58;False;61.37;0.001
12;13_3_15_L.lp.out;[2904, 2849, 2847, 2840, 2434, 2396, 2379, 2307, 2286, 2172, 2153, 2103, 2102, 2098, 1975, 1957, 1935, 1881, 1849, 1848, 1842, 1835, 1831, 1817, 1795, 1790, 1785, 1772, 1756];OPTIMAL;29;False;0.328;0.0
13;14_3_29_L.lp.out;[7164, 6754, 6688, 6287, 6238, 6196, 5898, 5867, 5864, 5843, 5766, 5526, 5433, 5418, 5266, 5138, 5108, 4844, 4779, 4403, 4345, 4286, 4266, 4201, 4158, 4009, 3970, 3915, 3860, 3748, 3721, 3621, 3619, 3608, 3606, 3605, 3537, 3465, 3461, 3438, 3375, 3367, 3326, 3234, 3228, 3165, 3154, 3138, 3121, 3116, 3115, 3097, 3095, 3079, 3078, 3027, 2962, 2922, 2894, 2857, 2849, 2844, 2841, 2817, 2815, 2812];OPTIMAL;66;False;54.595;0.001
14;15_3_32_L.lp.out;[8397, 8292, 8244, 8040, 7931, 7895, 6819, 6811, 6668, 6558, 6381, 6228, 6094, 6045, 6040, 6027, 5902, 5877, 5756, 5493, 5462, 5381, 5322, 5321, 5309, 5192, 5148, 4969, 4958, 4917, 4876, 4868, 4843, 4788, 4762, 4759, 4720, 4718, 4699, 4614, 4377, 4369, 4327, 4250, 4070, 3993, 3947, 3931, 3895, 3826, 3799, 3797, 3696, 3672, 3650, 3646, 3578, 3568, 3446, 3439, 3438, 3431, 3415, 3409, 3390, 3368, 3360, 3358, 3357, 3324, 3312, 3305, 3303, 3281, 3236, 3230, 3198, 3168, 3161, 3114, 3113, 3100];OPTIMAL;82;False;269.841;0.016
15;16_3_45_L.lp.out;[8257, 8250];FEASIBLE;2;True;299.999;0.0
16;17_3_40_L.lp.out;[7892, 7888];FEASIBLE;2;True;299.999;0.0
