;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3113, 3098, 2810, 2704, 2648, 2480, 2463, 2185, 2177, 2149, 2121, 2119, 2084, 2034, 1980, 1930, 1837, 1797, 1774, 1748, 1743, 1711, 1698, 1677, 1664, 1662, 1644, 1642, 1641, 1634, 1632];OPTIMAL;31;False;9.644;0.686
1;2_3_24_L.lp.out;[6222, 6197, 6143, 5796, 5752, 5626, 5487, 5241, 5159, 5085, 5059, 5033, 5022, 5006, 4859, 4713, 4703, 4680, 4591, 4570, 4483];FEASIBLE;21;True;299.995;0.0
2;3_3_28_L.lp.out;[6905, 6903, 6380, 5842, 5823, 5753, 5393, 5076, 5068, 4807, 4686, 4545, 4521, 4473, 4443, 4414, 4394, 4295, 4266, 4166, 4132, 4116, 4083, 3957, 3952, 3922, 3899];FEASIBLE;27;True;299.991;0.0
3;4_3_5_L.lp.out;[1443, 951, 848, 823, 732, 707, 665];OPTIMAL;7;False;0.022;0.0
4;5_3_47_L.lp.out;[9593, 9544, 8830, 8781, 8710, 8396, 8029, 7895];FEASIBLE;8;True;299.994;0.0
5;6_3_32_L.lp.out;[6784, 6730, 6714, 6553, 6501, 6476, 6413, 6368, 6316, 6075, 6063, 6058, 6033, 5995];FEASIBLE;14;True;299.994;0.0
6;7_3_10_L.lp.out;[2005, 1691, 1422, 1410, 1349, 1338];OPTIMAL;6;False;0.055;0.0
7;8_3_28_L.lp.out;[6890, 6834, 6802, 6750, 6652, 6421, 6401, 6358, 6301, 6025, 5836, 5778, 5706, 5199, 5119, 4877, 4753, 4630, 4583, 4580, 4550];FEASIBLE;21;True;299.994;0.0
8;9_3_18_L.lp.out;[3239, 2996, 2991, 2927, 2905, 2802, 2727, 2714, 2665, 2512, 2503, 2453, 2382, 2325];OPTIMAL;14;False;0.328;0.015
9;10_3_20_L.lp.out;[4231, 4206, 3769, 3683, 3294, 3266, 2978, 2954, 2952, 2850, 2787, 2715, 2704, 2693, 2646, 2485, 2480, 2465, 2450, 2401, 2338, 2305, 2294, 2245, 2244, 2205, 2188, 2174, 2117, 2108, 2100, 2086, 2065, 2060, 2057, 2040, 2037];OPTIMAL;37;False;239.955;0.936
10;11_3_19_L.lp.out;[3576, 3325, 3003, 2813, 2803, 2582, 2578, 2574, 2568, 2555, 2530, 2454, 2450, 2441, 2414, 2394, 2390, 2381, 2306, 2299, 2291, 2258, 2228, 2220, 2218, 2158];FEASIBLE;26;True;299.995;0.0
11;12_3_25_L.lp.out;[5387, 5357, 5302, 4954, 4647, 4590, 4551, 4236, 4096, 3997, 3960];FEASIBLE;11;True;299.997;0.0
12;13_3_15_L.lp.out;[4058, 3939, 3446, 3105, 3045, 2924, 2902, 2617, 2571, 2383, 2329, 2308, 2249, 2056, 2050, 2047, 2035, 1983, 1939, 1861, 1845, 1814, 1807, 1785, 1779, 1772, 1756];OPTIMAL;27;False;0.507;0.0
13;14_3_29_L.lp.out;[4753, 4743, 4742, 4738, 4693, 4645, 4519, 4516, 4267, 4238, 4187, 4120, 4076, 4074, 3788, 3772, 3760, 3734, 3681, 3653, 3648, 3548, 3538, 3507, 3497, 3486, 3430, 3411, 3324, 3252, 3235, 3212, 3191, 3144, 3112, 3006, 2941, 2900, 2854, 2849, 2827, 2815, 2812];OPTIMAL;43;False;282.074;187.443
14;15_3_32_L.lp.out;[7084, 6955, 6942, 6931, 6796, 6791, 6742, 6657, 6348, 6330, 5809, 5746, 5744, 5467, 5465, 5439, 5223, 5112, 5067, 4969, 4650, 4629, 4605];FEASIBLE;23;True;299.989;0.0
15;16_3_45_L.lp.out;[9234, 7481, 7447, 7373, 7370, 7338];FEASIBLE;6;True;299.995;0.0
16;17_3_40_L.lp.out;[7642, 7639];FEASIBLE;2;True;299.999;0.0
17;18_3_31_L.lp.out;[5817, 5707, 5320, 5074, 4902, 4754, 4590, 4579, 4553, 4528, 4509, 4456, 4375, 4334, 4277, 4209, 4128, 3900, 3858, 3852, 3746, 3600, 3580, 3566, 3511];FEASIBLE;25;True;299.99;0.0
18;19_3_30_L.lp.out;[6837, 6286, 6277, 5654, 5587, 5392, 5275, 5261, 5220, 5033, 4769, 4558, 4495];FEASIBLE;13;True;299.995;0.0
19;20_3_7_L.lp.out;[2070, 1644, 1443, 1355, 1094, 1044, 1019, 908, 874, 855, 852, 850];OPTIMAL;12;False;0.038;0.0
20;21_3_9_L.lp.out;[1666, 1252, 1110, 967, 915];OPTIMAL;5;False;0.029;0.002
21;22_3_10_L.lp.out;[2386, 2245, 1723, 1077];OPTIMAL;4;False;0.043;0.018
22;23_3_44_L.lp.out;[8169, 8095, 8082, 8076, 7936, 7771, 7358];FEASIBLE;7;True;299.994;0.0
23;24_3_41_L.lp.out;[9941, 9922, 8686, 8661, 8352, 8168, 8057, 7948, 7717, 7703, 7645, 7595, 7589, 7560];FEASIBLE;14;True;299.992;0.0
24;25_3_33_L.lp.out;[7341, 7245, 7233, 7199, 7176, 7082, 7005, 6481, 6421, 6310, 6163, 6142, 6113, 5538, 5243, 4741, 4436, 4302, 4239];FEASIBLE;19;True;299.991;0.0
25;26_3_29_L.lp.out;[6212, 6049, 6046, 5836, 5634, 5620, 5613, 5545, 5522, 5460, 5146, 5057, 5007, 4967, 4947, 4880, 4802, 4763, 4720, 4713, 4712, 4699, 4550, 4279, 4176, 4148, 4146, 4139, 4074, 4064, 4054, 4027, 3994, 3962, 3934, 3785, 3753, 3750, 3746, 3694, 3679, 3597, 3573, 3561, 3540, 3462, 3458, 3450, 3390, 3356, 3354, 3321];FEASIBLE;52;True;299.984;0.0
26;27_3_42_L.lp.out;[10379, 9733, 9630, 9463, 9401, 9209, 9022, 8899, 8570, 8142, 8050, 8031, 7757, 7710, 7616, 7516, 7475, 6875, 6712];FEASIBLE;19;True;299.987;0.0
27;28_3_28_L.lp.out;[5224, 5016, 4888, 4572, 4345, 4316, 4255, 4017, 3941, 3940, 3811, 3809, 3796, 3697, 3615, 3579, 3485, 3441];FEASIBLE;18;True;299.996;0.0
28;29_3_34_L.lp.out;[7366, 7330, 7080, 6694];FEASIBLE;4;True;299.998;0.0
29;30_3_24_L.lp.out;[4619, 4517, 3685, 3621, 3282, 3213, 3102, 3046, 2965, 2941, 2926, 2894, 2785, 2768, 2758];FEASIBLE;15;True;299.997;0.0
