;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3358, 2999, 2987, 2954, 2898, 2876, 2656, 2625, 2538, 2467, 2445, 2348, 2345, 2343, 2341, 2283, 2253, 2248, 2161, 2090, 2007, 1951, 1918, 1910, 1900, 1872, 1856, 1793, 1777, 1772, 1766, 1760, 1758];FEASIBLE;33;True;299.994;0.0
1;2_3_24_L.lp.out;[4870, 4759, 4733, 4703, 4657, 4629, 4513, 4455, 4452, 4312, 4202, 4115, 3990, 3957, 3855, 3848, 3818, 3797, 3738, 3720, 3716, 3714, 3704, 3698, 3651, 3529, 3514, 3499, 3492, 3488, 3487, 3450, 3441, 3415, 3412, 3368, 3364, 3334, 3328, 3274, 3157, 3154];FEASIBLE;42;True;299.991;0.0
2;3_3_28_L.lp.out;[6148, 5056, 4975, 4917, 4832, 4704, 4625, 4610, 4524, 4468, 4420, 4177, 4149, 4103, 4097, 4095, 4085, 4066, 3986, 3981, 3910, 3795, 3756];FEASIBLE;23;True;299.992;0.0
3;4_3_5_L.lp.out;[707, 665];OPTIMAL;2;False;0.02;0.0
4;5_3_47_L.lp.out;[8364, 8354, 8016, 7824, 7473, 7446, 7375, 7087, 7005, 7001, 6943, 6804, 6711, 6561, 6342, 6292, 6232, 6198, 6113, 6019, 5945, 5937, 5915, 5897, 5884, 5812, 5727, 5559];FEASIBLE;28;True;299.977;0.0
5;6_3_32_L.lp.out;[5316, 5201, 5181, 4733, 4710, 4451, 4425, 4403, 4393, 4382, 4208, 4109, 4108, 4057, 4027, 3994, 3977, 3970, 3960, 3831, 3768, 3748, 3744, 3736, 3701, 3665, 3664, 3658, 3635, 3627, 3619, 3613, 3596, 3545, 3541, 3528, 3527, 3524, 3520, 3498, 3495, 3494, 3491, 3483, 3472];FEASIBLE;45;True;299.979;0.0
6;7_3_10_L.lp.out;[1621, 1521, 1467, 1448, 1405, 1394, 1362, 1338];OPTIMAL;8;False;0.069;0.0
7;8_3_28_L.lp.out;[5218, 4379, 4302, 4252, 4201, 4067, 3894, 3859, 3843, 3786, 3664, 3586, 3519, 3515, 3471, 3405, 3343, 3276, 3258, 3231, 3146, 3141, 3124, 3121, 3104, 3100, 3069, 3061, 3037, 3025, 2918, 2895, 2889, 2886, 2867, 2866, 2845, 2807];FEASIBLE;38;True;299.988;0.0
8;9_3_18_L.lp.out;[3604, 3591, 3587, 3525, 3097, 2977, 2936, 2714, 2457, 2382, 2381, 2378, 2367, 2336, 2325];OPTIMAL;15;False;0.176;0.002
9;10_3_20_L.lp.out;[3450, 3436, 3428, 3276, 3238, 3044, 2882, 2806, 2780, 2613, 2511, 2487, 2475, 2472, 2468, 2455, 2448, 2438, 2430, 2429, 2423, 2397, 2350, 2348, 2335, 2307, 2298, 2249, 2238, 2186, 2154, 2146, 2145, 2108, 2097, 2075, 2062, 2037];FEASIBLE;38;True;299.992;0.0
