;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3024, 2907, 2893, 2705, 2697, 2556, 2529, 2510, 2485, 2475, 2471, 2419, 2411, 2361, 2343, 2341, 2292, 2244, 2218, 2156, 2065, 2010, 1949, 1926, 1892, 1888, 1854, 1817, 1799, 1777, 1766, 1758, 1752, 1751, 1750, 1738, 1724, 1723, 1719, 1706, 1700, 1689, 1680, 1671, 1666, 1638, 1637, 1632];OPTIMAL;48;False;261.114;40.628
1;2_3_24_L.lp.out;[5653, 5641, 4566, 4553, 4266, 4247, 4134, 4109, 4034, 3982, 3968, 3717, 3646, 3641, 3610, 3573, 3562, 3530, 3519, 3492, 3490, 3466, 3451, 3423, 3418, 3375, 3349, 3294, 3280, 3247, 3234, 3226, 3223, 3221, 3218, 3192, 3187, 3185, 3154, 3150, 3137];OPTIMAL;41;False;73.655;0.003
2;3_3_28_L.lp.out;[6136, 6066, 5477, 5405, 5351, 5190, 5130, 5091, 5049, 5023, 4730, 4687, 4685, 4668, 4642, 4602, 4557, 4539, 4516, 4437, 4426, 4423, 4386, 4385, 4286, 4217, 4206, 4204, 4158, 4057, 3990, 3983, 3962, 3950, 3912, 3906, 3886, 3883, 3880, 3878, 3877, 3825, 3817];FEASIBLE;43;True;299.987;0.0
3;4_3_5_L.lp.out;[732, 716, 707, 665];OPTIMAL;4;False;0.014;0.0
4;5_3_47_L.lp.out;[8092, 8019, 7602, 7526, 7428, 7133, 6860, 6853, 6828, 6552, 6540, 6285, 6269, 6240, 6127, 6121, 6065, 6058, 6006, 5884, 5799, 5789, 5737, 5725, 5693, 5666, 5658, 5637, 5634, 5633, 5601, 5522, 5369, 5358, 5267];FEASIBLE;35;True;299.973;0.0
5;6_3_32_L.lp.out;[5287, 5235, 4659, 4575, 4461, 4448, 4414, 4406, 4340, 4281, 4266, 4263, 4253, 4249, 4135, 4125, 4122, 4049, 4021, 3957, 3954, 3925, 3922, 3912, 3901, 3887, 3824, 3814, 3806, 3778, 3774, 3765, 3746, 3731, 3705, 3696, 3653, 3621, 3614, 3612, 3575, 3535, 3519, 3510, 3509, 3504, 3475, 3437, 3434, 3418, 3407, 3384];FEASIBLE;52;True;299.975;0.0
6;7_3_10_L.lp.out;[1586, 1582, 1524, 1516, 1498, 1496, 1405, 1399, 1394, 1372, 1362, 1338];OPTIMAL;12;False;0.077;0.001
7;8_3_28_L.lp.out;[4449, 4447, 3906, 3904, 3903, 3897, 3856, 3657, 3571, 3511, 3502, 3465, 3310, 3258, 3254, 3250, 3215, 3197, 3179, 3078, 3064, 2989, 2924, 2881, 2857, 2831, 2807];FEASIBLE;27;True;299.992;0.0
8;9_3_18_L.lp.out;[2932, 2876, 2783, 2745, 2732, 2667, 2502, 2467, 2465, 2444, 2411, 2397, 2325];OPTIMAL;13;False;0.128;0.005
9;10_3_20_L.lp.out;[3454, 3449, 2751, 2640, 2625, 2592, 2591, 2537, 2511, 2509, 2506, 2481, 2479, 2458, 2431, 2416, 2384, 2362, 2293, 2285, 2282, 2278, 2263, 2252, 2249, 2205, 2204, 2199, 2167, 2145, 2108, 2097, 2089, 2062, 2060, 2057, 2040, 2037];OPTIMAL;38;False;277.276;147.72
10;11_3_19_L.lp.out;[3031, 2908, 2894, 2726, 2642, 2587, 2545, 2490, 2486, 2440, 2438, 2410, 2386, 2364, 2356, 2350, 2339, 2325, 2318, 2298, 2220, 2143, 2059, 2009, 1990];OPTIMAL;25;False;249.688;229.314
11;12_3_25_L.lp.out;[4710, 4591, 4198, 3914, 3877, 3848, 3561, 3537, 3390, 3331, 3299, 3279, 3260, 3252, 3224, 3180, 3155, 3129, 3048, 3040, 3039, 3035, 3019];FEASIBLE;23;True;299.994;0.0
12;13_3_15_L.lp.out;[2856, 2830, 2270, 2268, 2131, 2113, 2049, 1977, 1951, 1946, 1944, 1916, 1863, 1852, 1795, 1790, 1785, 1779, 1756];OPTIMAL;19;False;0.304;0.002
13;14_3_29_L.lp.out;[5247, 5150, 4657, 4569, 4267, 4229, 4215, 4131, 4128, 3928, 3874, 3848, 3780, 3680, 3627, 3454, 3394, 3391, 3389, 3307, 3258, 3244, 3225, 3162, 3145, 3138, 3126, 3097, 3092, 3060, 3054, 2924, 2891, 2866, 2856, 2855, 2829, 2817, 2812];FEASIBLE;39;True;299.988;0.0
14;15_3_32_L.lp.out;[5340, 5335, 5170, 5139, 5089, 4828, 4650, 4606, 4587, 4548, 4513, 4504, 4454, 4409, 4376, 4367, 4314, 4240, 4214, 4200, 4178, 4003, 3994, 3976, 3973, 3964, 3952, 3840, 3807, 3794, 3785, 3652, 3456, 3431, 3421, 3416, 3395];FEASIBLE;37;True;299.983;0.0
15;16_3_45_L.lp.out;[7872, 7824, 7821, 7818, 7766, 7755, 7555, 7437, 7227, 7162, 7086, 7061, 6464, 6419, 6414, 6380, 6262, 6205, 6149, 6137, 6126, 6118, 6106, 6105, 6005, 5962, 5934, 5857, 5847, 5826, 5821, 5801, 5764, 5763, 5735, 5729, 5716, 5698, 5681, 5675, 5626, 5564, 5527, 5507, 5500, 5492, 5481, 5479, 5474, 5453, 5451, 5422, 5381, 5379, 5369, 5320, 5292, 5264, 5255, 5252, 5224, 5207, 5168, 5157, 5080, 5072, 5056, 5049, 5039, 5021, 4979, 4976, 4957, 4943, 4942, 4919, 4917, 4909, 4876, 4874, 4830, 4821, 4805];FEASIBLE;83;True;299.941;0.0
16;17_3_40_L.lp.out;[5478, 5373, 5364, 5337, 5149, 4944, 4932, 4902, 4836, 4833, 4806, 4693, 4600, 4567, 4546, 4484, 4472, 4408, 4393, 4345, 4289, 4274, 4251, 4236, 4230, 4212, 4207, 4206, 4176, 4163, 4146, 4139, 4117, 4115, 4102, 4043, 4041, 4034, 4023, 4016, 4011, 4001, 3998, 3994, 3940, 3939, 3867, 3866, 3864, 3861, 3834, 3810, 3795, 3788, 3777, 3762];FEASIBLE;56;True;299.968;0.0
17;18_3_31_L.lp.out;[4526, 4300, 4085, 4002, 3990, 3942, 3918, 3909, 3892, 3880, 3855, 3816, 3735, 3689, 3651, 3644, 3632, 3630, 3626, 3618, 3608, 3594, 3579, 3562, 3547, 3493, 3468, 3446];FEASIBLE;28;True;299.989;0.0
18;19_3_30_L.lp.out;[4980, 3774, 3765, 3736, 3724, 3722, 3603, 3594, 3532];FEASIBLE;9;True;299.997;0.0
19;20_3_7_L.lp.out;[1174, 1019, 1014, 978, 946, 874, 850];OPTIMAL;7;False;0.022;0.002
20;21_3_9_L.lp.out;[1321, 1011, 915];OPTIMAL;3;False;0.04;0.006
21;22_3_10_L.lp.out;[1326, 1314, 1281, 1274, 1236, 1232, 1215, 1202, 1194, 1157, 1152, 1144, 1116, 1099, 1093, 1090, 1080, 1077];OPTIMAL;18;False;0.107;0.016
22;23_3_44_L.lp.out;[6982, 6960, 6839, 6802, 6751, 6745, 6712, 6542, 6524, 6486, 6313, 6219, 6171, 6140, 6080, 6063, 6052, 6050, 5903, 5622, 5572, 5564, 5524, 5486, 5442, 5428, 5409, 5360, 5340, 5318, 5309, 5301, 5260, 5253, 5248, 5244, 5234, 5221, 5201, 5178, 5161, 5160, 5120, 5097, 5073, 5067, 5066, 5039, 5034, 5028, 5007, 5002, 4997, 4927, 4926, 4915, 4903, 4882, 4858, 4812, 4808, 4805, 4789, 4780];FEASIBLE;64;True;299.957;0.0
23;24_3_41_L.lp.out;[8255, 8236, 7220, 7144, 6933, 6908, 6898, 6887, 6831, 6784, 6727, 6670, 6655, 6653, 6593, 6497, 6470, 6309, 6264, 6258, 6242, 6121, 6113, 6032, 5956, 5907, 5836, 5814, 5765, 5763, 5707, 5694, 5624, 5566, 5526, 5443, 5405, 5361, 5334, 5317];FEASIBLE;40;True;299.98;0.0
24;25_3_33_L.lp.out;[4663, 4448, 4435, 4413, 4362, 4306, 4298, 4287, 4239, 4121, 4105, 4081, 4063, 4060, 4057, 4004, 3905, 3895, 3876, 3854, 3780, 3766, 3763, 3746, 3740, 3692, 3676, 3671, 3622, 3599, 3570, 3552, 3543, 3541, 3519, 3518, 3481, 3447, 3427, 3417, 3406];FEASIBLE;41;True;299.978;0.0
25;26_3_29_L.lp.out;[5005, 4995, 4875, 4831, 4646, 4368, 4315, 4220, 4216, 4130, 4113, 4034, 3811, 3808, 3803, 3758, 3752, 3745, 3739, 3648, 3628, 3616, 3613, 3603, 3600, 3587, 3585, 3584, 3579, 3564, 3524, 3509, 3483, 3463, 3460, 3443, 3438, 3428, 3408, 3401, 3376, 3371, 3368, 3335, 3289, 3280, 3277, 3259, 3245, 3237, 3231, 3213, 3202, 3170, 3169, 3157, 3149, 3143, 3142, 3132, 3124, 3123, 3118, 3101, 3095, 3089, 3088, 3080, 3072, 3071];FEASIBLE;70;True;299.98;0.0
26;27_3_42_L.lp.out;[6768, 6732, 6717, 6690, 6677, 6640, 6455, 6453, 6433, 6414, 6409, 6348, 6295, 6291, 6256, 6011, 5738, 5644, 5545, 5527, 5429, 5322, 5315, 5303, 5297, 5268, 5138, 5126, 5120, 5117, 4957, 4954, 4936, 4932];FEASIBLE;34;True;299.98;0.0
27;28_3_28_L.lp.out;[4210, 4083, 3762, 3761, 3646, 3485, 3474, 3449, 3429, 3390, 3296, 3235, 3188, 3128, 3103, 3054, 3039, 3020, 3018, 2997, 2987, 2971, 2965, 2963, 2960, 2914, 2886, 2832, 2829, 2814, 2813, 2805];FEASIBLE;32;True;299.991;0.0
28;29_3_34_L.lp.out;[6212, 6204, 5212, 5163, 5159, 5117, 5058, 5045, 5040, 4995, 4953, 4888, 4835, 4815, 4812, 4807, 4749, 4717, 4672, 4661, 4621, 4615, 4576, 4570, 4554, 4550, 4540, 4514, 4485, 4478, 4470, 4453, 4423, 4418, 4407];FEASIBLE;35;True;299.985;0.0
29;30_3_24_L.lp.out;[3451, 3450, 3269, 3255, 3242, 2945, 2930, 2921, 2918, 2877, 2869, 2855, 2850, 2766, 2734, 2733, 2638, 2621, 2557, 2553, 2548, 2529, 2518, 2514, 2490, 2487];FEASIBLE;26;True;299.994;0.0
30;31_3_30_L.lp.out;[5173, 5133, 5116, 4769, 4666, 4543, 4501, 4435, 4416, 4329, 4314, 4304, 4233, 4205, 4195, 4183, 4061, 4051, 4039, 3918, 3794, 3713, 3586, 3551, 3511, 3505, 3444, 3439, 3424, 3396, 3389, 3365];FEASIBLE;32;True;299.991;0.0
31;32_3_26_L.lp.out;[4348, 4172, 3954, 3925, 3843, 3791, 3782, 3747, 3734, 3730, 3716, 3715, 3664, 3651, 3601, 3598, 3572, 3536, 3471, 3464, 3373, 3363, 3284, 3281, 3248, 3240, 3224, 3221, 3214, 3197, 3190, 3185, 3181, 3172, 3170, 3126, 3125, 3112, 3106, 3105, 3061, 3060, 3038, 3023, 3017, 3011, 2997, 2992, 2973, 2962, 2948, 2929, 2924, 2923, 2893, 2888, 2878, 2871];FEASIBLE;58;True;299.99;0.0
32;33_3_5_L.lp.out;[903, 677];OPTIMAL;2;False;0.02;0.001
33;34_3_12_L.lp.out;[1745, 1682, 1599, 1579, 1570, 1567, 1501, 1432, 1352, 1349, 1319];OPTIMAL;11;False;0.118;0.061
