;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3462, 3427, 2963, 2807, 2789, 2675, 2665, 2652, 2629, 2538, 2526, 2482, 2480, 2411, 2392, 2361, 2345, 2343, 2341, 2324, 2316, 2155, 2153, 2149, 2065, 2015, 2007, 1968, 1955, 1926, 1888, 1878, 1777, 1766, 1758, 1752, 1751, 1723, 1719, 1706, 1695, 1690, 1680, 1671, 1666, 1648, 1644, 1642, 1641, 1638, 1637, 1632];OPTIMAL;52;False;18.551;0.269
1;2_3_24_L.lp.out;[4929, 4691, 4669, 4570, 4547, 4518, 4316, 4208, 3967, 3873, 3859, 3823, 3795, 3768, 3726, 3708, 3698, 3689, 3687, 3535, 3517, 3492, 3420, 3407, 3392, 3357, 3356, 3320, 3282, 3249, 3234, 3221, 3198, 3192, 3176, 3161, 3154, 3150, 3142, 3137];OPTIMAL;40;False;5.132;0.002
2;3_3_28_L.lp.out;[5756, 5541, 5066, 4887, 4870, 4732, 4707, 4686, 4681, 4676, 4557, 4545, 4524, 4448, 4437, 4433, 4409, 4334, 4329, 4299, 4272, 4259, 4257, 4219, 4190, 4182, 4158, 4148, 4067, 4065, 4062, 4057];FEASIBLE;32;True;299.989;0.0
3;4_3_5_L.lp.out;[732, 716, 707, 665];OPTIMAL;4;False;0.021;0.0
4;5_3_47_L.lp.out;[8557, 8473, 8036, 7912, 7562, 7525, 7346, 7319, 7209, 7204, 7128, 7119, 6995, 6989, 6960, 6940, 6931, 6898, 6826, 6808, 6617, 6595, 6560, 6511, 6508, 6495, 6480, 6460, 6419, 6399, 6361, 6354, 6338, 6331, 6313, 6299, 6207, 6170, 6152, 6140, 6136, 6131, 5986, 5744, 5718, 5679, 5592, 5563, 5525, 5487, 5480, 5467, 5421, 5292, 5287, 5267, 5099, 5097, 5024, 4984, 4974, 4946, 4925, 4874];FEASIBLE;64;True;299.947;0.0
5;6_3_32_L.lp.out;[4996, 4918, 4835, 4621, 4521, 4315, 4108, 4095, 4056, 4018, 4000, 3997, 3987, 3953, 3946, 3873, 3847, 3839, 3830, 3813, 3767, 3749, 3734, 3713, 3695, 3681, 3673, 3659, 3657, 3642, 3632, 3630, 3607, 3581, 3576, 3540, 3538, 3522, 3521, 3520, 3516, 3507, 3500, 3492, 3483, 3479, 3463, 3447, 3446, 3435, 3399, 3398, 3394, 3390, 3384, 3383, 3364, 3361, 3359, 3352, 3343, 3328, 3327, 3318, 3317, 3309, 3302, 3282];FEASIBLE;68;True;299.971;0.0
6;7_3_10_L.lp.out;[2197, 1912, 1640, 1530, 1513, 1498, 1491, 1405, 1399, 1394, 1362, 1338];OPTIMAL;12;False;0.102;0.0
7;8_3_28_L.lp.out;[4065, 4046, 4008, 3891, 3577, 3535, 3503, 3497, 3482, 3237, 3233, 3194, 3159, 3031, 2999, 2965, 2922, 2913, 2902, 2807];FEASIBLE;20;True;299.993;0.0
8;9_3_18_L.lp.out;[2987, 2933, 2923, 2765, 2618, 2543, 2536, 2414, 2402, 2397, 2378, 2372, 2367, 2353, 2325];OPTIMAL;15;False;0.309;0.002
9;10_3_20_L.lp.out;[4014, 3666, 3468, 3411, 3375, 3298, 3114, 2986, 2981, 2922, 2902, 2763, 2754, 2746, 2734, 2721, 2623, 2587, 2545, 2528, 2486, 2484, 2482, 2469, 2465, 2444, 2440, 2436, 2427, 2416, 2384, 2371, 2333, 2232, 2199, 2187, 2172, 2161, 2158, 2156, 2154, 2108, 2092, 2078, 2077, 2060, 2057, 2042, 2040, 2037];OPTIMAL;50;False;49.652;0.49
10;11_3_19_L.lp.out;[3742, 3146, 2989, 2754, 2735, 2728, 2727, 2703, 2604, 2534, 2510, 2474, 2468, 2443, 2440, 2416, 2413, 2410, 2404, 2398, 2383, 2374, 2368, 2364, 2354, 2348, 2325, 2313, 2298, 2220, 2163, 2155, 2147, 2067, 2059, 2043, 2038, 2001, 1990];OPTIMAL;39;False;1.201;0.554
11;12_3_25_L.lp.out;[4765, 4619, 4276, 4063, 3993, 3906, 3648, 3634, 3603, 3444, 3319, 3315, 3305, 3222, 3068, 3041, 3039, 3035, 3026, 3019, 3006, 2978];OPTIMAL;22;False;5.737;0.691
12;13_3_15_L.lp.out;[2928, 2896, 2712, 2662, 2422, 2233, 2131, 2060, 2059, 2049, 1955, 1951, 1946, 1936, 1927, 1919, 1847, 1838, 1795, 1790, 1785, 1780, 1779, 1772, 1756];OPTIMAL;25;False;0.247;0.0
13;14_3_29_L.lp.out;[4099, 4039, 4024, 3968, 3963, 3773, 3762, 3747, 3740, 3705, 3675, 3674, 3632, 3603, 3602, 3578, 3498, 3411, 3384, 3337, 3320, 3291, 3239, 3231, 3214, 3198, 3174, 3092, 3088, 3060, 2939, 2937, 2936, 2882, 2871, 2855, 2854, 2849, 2835, 2822, 2817, 2812];OPTIMAL;42;False;13.615;0.509
14;15_3_32_L.lp.out;[5459, 4905, 4876, 4869, 4745, 4659, 4601, 4500, 4367, 4231, 4218, 4172, 4161, 4092, 4073, 4069, 4059, 4058, 3985, 3958, 3914, 3907, 3902, 3893, 3882, 3872, 3848, 3830, 3829, 3794, 3762, 3737, 3723, 3713, 3695, 3682, 3657, 3656, 3639, 3575, 3563, 3550];FEASIBLE;42;True;299.979;0.0
15;16_3_45_L.lp.out;[7025, 7008, 6985, 6812, 6789, 6765, 6551, 6547, 6543, 6501, 6489, 6465, 6434, 6395, 6255, 6251, 6206, 6178, 6177, 6082, 6066, 6044, 6041, 6032, 6028, 6009, 6004, 5981, 5971, 5958, 5884, 5864, 5855, 5800, 5783, 5779, 5772, 5770, 5757, 5749, 5709, 5588, 5468, 5454, 5453, 5439, 5429, 5425, 5414, 5401, 5396, 5381, 5360, 5356, 5352, 5334, 5299, 5289, 5277, 5247, 5236, 5232, 5228, 5223, 5207, 5159, 5143, 5140, 5132, 5124, 5122, 5101, 5089, 5087, 5071, 5047, 5037, 5034, 5028, 5024, 5016, 4973, 4956, 4927, 4873, 4860, 4852, 4817, 4810, 4805];FEASIBLE;90;True;299.93;0.0
16;17_3_40_L.lp.out;[5871, 5834, 5671, 5667, 5622, 5607, 5577, 5564, 5530, 5356, 5334, 5293, 5208, 5150, 5137, 5123, 5121, 4994, 4944, 4854, 4829, 4766, 4753, 4727, 4713, 4710, 4696, 4690, 4681, 4658, 4648, 4640, 4614, 4608, 4603, 4597, 4522, 4494, 4468, 4339, 4332, 4299, 4274, 4255, 4244, 4240, 4206, 4188, 4184, 4172, 4165, 4131, 4099, 4079, 4026, 4012, 4010, 3970, 3953, 3944, 3934, 3926, 3922, 3920, 3912, 3909, 3885, 3883, 3878, 3864, 3860, 3857, 3843, 3826, 3821, 3819, 3806, 3793, 3788, 3787, 3780, 3777, 3769, 3764, 3762, 3757];FEASIBLE;86;True;299.94;0.0
17;18_3_31_L.lp.out;[4879, 4822, 4631, 4490, 4431, 4314, 4295, 4294, 4230, 4141, 4070, 4026, 4019, 4008, 3969, 3951, 3899, 3890, 3883, 3830, 3738, 3731, 3710, 3689, 3671, 3651, 3647, 3644, 3636, 3597, 3585, 3579, 3567, 3509, 3504, 3496, 3495, 3494, 3493, 3451, 3447];FEASIBLE;41;True;299.981;0.0
18;19_3_30_L.lp.out;[5406, 5354, 4933, 4142, 4124, 4103, 4084, 4012, 3962, 3854, 3843, 3817, 3766, 3717, 3712, 3674, 3635, 3622, 3611, 3609, 3601, 3596, 3591, 3583, 3581, 3571, 3562, 3541, 3534, 3533, 3526, 3436, 3430, 3396, 3394, 3378, 3370, 3366, 3361, 3358, 3352, 3351, 3349, 3347, 3346, 3340, 3328, 3318, 3314, 3302, 3290, 3262, 3253];OPTIMAL;53;False;31.427;0.261
19;20_3_7_L.lp.out;[1174, 1019, 1014, 946, 874, 850];OPTIMAL;6;False;0.031;0.002
20;21_3_9_L.lp.out;[1321, 1011, 915];OPTIMAL;3;False;0.039;0.002
21;22_3_10_L.lp.out;[1281, 1224, 1163, 1157, 1152, 1151, 1144, 1099, 1097, 1093, 1090, 1077];OPTIMAL;12;False;0.078;0.004
22;23_3_44_L.lp.out;[6974, 6904, 6814, 6741, 6740, 6707, 6670, 6503, 6501, 6473, 6443, 6290, 6263, 6094, 6062, 6061, 6056, 6054, 5961, 5955, 5935, 5894, 5889, 5872, 5818, 5806, 5755, 5697, 5692, 5661, 5603, 5578, 5539, 5533, 5530, 5526, 5521, 5510, 5493, 5471, 5424, 5408, 5393, 5391, 5349, 5327, 5315, 5294, 5288, 5285, 5262, 5255, 5200, 5180, 5168, 5149, 5093, 5061, 5033, 4998, 4988, 4934, 4904, 4902, 4862, 4860, 4846, 4818, 4805, 4791, 4781];FEASIBLE;71;True;299.948;0.0
23;24_3_41_L.lp.out;[8004, 7985, 7763, 7729, 7712, 7507, 7417, 7400, 7399, 7382, 7378, 6964, 6879, 6868, 6623, 6600, 6599, 6594, 6429, 6348, 6308, 6271, 6251, 6248, 6225, 6182, 6177, 6170, 6121, 6096, 5972, 5913, 5901, 5860, 5785, 5719, 5697, 5688, 5645, 5605, 5590, 5582, 5568, 5519, 5461, 5317, 5305, 5273, 5258, 5139, 5137, 5130, 5120];OPTIMAL;53;False;7.384;0.012
