;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3532, 3468, 3387, 3243, 3165, 3081, 3053];FEASIBLE;7;True;299.999;0.0
1;2_3_24_L.lp.out;[7175, 6478, 6171, 6042, 6020, 6010, 5728, 5555, 5527, 5310, 5273, 5201, 5164, 5124, 4876, 4870, 4864, 4792, 4741, 4715, 4704, 4699, 4672, 4598, 4395, 4389, 4355, 4333, 4329, 4311, 4275, 4245, 4244, 4208, 4137, 3990, 3985, 3954, 3942, 3924, 3774, 3615, 3592, 3573, 3560, 3531, 3518, 3477, 3459, 3256, 3242, 3234, 3168, 3154, 3137];OPTIMAL;55;False;57.709;0.0
2;3_3_28_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
3;4_3_5_L.lp.out;[1495, 823, 732, 707, 665];OPTIMAL;5;False;0.226;0.0
4;5_3_47_L.lp.out;[12186, 12134, 12049, 11755, 11716, 11559, 10635, 10402, 10338, 10328, 10324, 9877, 9803, 9604, 9534, 9333, 9329, 9288, 9248, 9074, 9037, 8922, 8724, 8654, 8652, 8614, 8575, 8498, 8294, 8153, 8096, 8008, 7597, 7560, 7516, 7217, 7044, 6845];FEASIBLE;38;True;299.976;0.0
5;6_3_32_L.lp.out;[8116, 6821, 6637, 6289, 6214, 6051, 6015, 6004, 5998, 5982, 5947, 5941, 5912, 5777, 5766, 5653, 5375, 5371, 5368, 5348, 5250, 5176, 5163, 5050, 4980, 4811, 4797, 4773, 4715, 4631, 4624, 4563, 4512, 4471, 4359];FEASIBLE;35;True;299.988;0.0
6;7_3_10_L.lp.out;[1917, 1860, 1824, 1478, 1362, 1338];OPTIMAL;6;False;0.052;0.0
7;8_3_28_L.lp.out;[7788, 7738, 7678, 7426, 7105, 7085, 7067, 6611, 6569, 6528, 6423, 6127, 6070, 6018, 5901, 5699, 5671, 5664, 5391, 5016, 4686, 4666, 4639, 4619, 4596, 4541, 4371, 4245, 4231, 4156, 3983, 3954, 3944, 3939, 3831, 3814, 3664, 3629, 3619, 3611, 3609, 3598, 3591, 3553, 3547, 3435];FEASIBLE;46;True;299.987;0.0
8;9_3_18_L.lp.out;[5977, 5922, 5526, 5198, 5141, 4650, 4543, 4068, 3890, 3777, 3776, 3769, 3239, 3123, 3052, 3048, 3003, 2902, 2849, 2785, 2765, 2636, 2611, 2578, 2573, 2562, 2555, 2521, 2425, 2407, 2403, 2340, 2325];OPTIMAL;33;False;212.787;0.002
9;10_3_20_L.lp.out;[4644, 4482, 4437, 4427, 4424, 4379, 4335, 4333, 4160, 4131, 3961, 3792];FEASIBLE;12;True;299.998;0.0
10;11_3_19_L.lp.out;[2912, 2879, 2878, 2821, 2784, 2773, 2740, 2690, 2664, 2663, 2619, 2614, 2559, 2520, 2407, 2343, 2325, 2322, 2264, 2255, 2239, 2236, 2226, 2218, 2212, 2205, 2196, 2179, 2138, 2110, 2105, 2102, 2077, 2049, 2047, 2042, 2014, 1990];OPTIMAL;38;False;201.823;1.927
11;12_3_25_L.lp.out;[6737];FEASIBLE;1;True;300.0;0.0
12;13_3_15_L.lp.out;[3336, 3260, 2647, 2573, 2331, 2231, 2116, 2087, 2070, 2069, 2040, 2025, 2020, 1935, 1922, 1884, 1880, 1816, 1807, 1803, 1802, 1798, 1790, 1785, 1756];OPTIMAL;25;False;1.208;0.004
13;14_3_29_L.lp.out;[4923, 4901, 4867, 4541, 4409, 4342, 4296, 4285, 4243, 4084, 4049, 4020, 3969, 3942, 3752, 3750, 3719, 3680, 3676, 3638, 3632, 3585, 3556, 3488, 3467, 3417, 3405, 3404, 3364, 3346, 3327, 3325, 3311, 3303, 3245, 3213, 3197, 3180, 3179, 3150, 3102, 3094, 3083, 3077, 3058, 3054, 3019, 2939, 2936, 2895, 2857, 2851, 2839, 2835, 2834, 2815];FEASIBLE;56;True;299.986;0.0
14;15_3_32_L.lp.out;[9888, 9592, 8680, 8262, 8246, 7450, 7074, 6924, 6597, 6553, 6539, 6501, 6295, 6154, 5924, 5613, 5466, 5448, 5171, 5157, 5145, 5133, 5090, 5002, 4964, 4948, 4878, 4859, 4726, 4668, 4618, 4536, 4426, 4414];FEASIBLE;34;True;299.989;0.0
15;16_3_45_L.lp.out;[11702, 11308, 11302, 10921, 10591, 10516, 10409, 10363, 10328, 10314, 10273, 9918, 9592, 9565, 9560, 9551, 9281, 9075, 9009, 9004, 8975, 8769, 8738, 8429, 8408, 8406, 8301, 8295, 8294, 8263, 8209, 8147, 8073, 7872, 7795, 7701, 7427, 7389, 7158, 7119, 7117, 7085, 7024, 7022, 6951, 6851, 6809, 6773, 6702, 6678];FEASIBLE;50;True;299.973;0.0
16;17_3_40_L.lp.out;[9438, 9269, 9230, 8785, 8772, 8290, 8286, 8054, 8032, 8028, 7659, 7398, 7397, 7162, 7016, 6933, 6822, 6773, 6659, 6361, 6073, 6065, 6060, 6051, 6036, 6035, 5991, 5912, 5860, 5744, 5741, 5729, 5722, 5711, 5706, 5647, 5579, 5564, 5556, 5468, 5423, 5251, 5093, 4956, 4943];FEASIBLE;45;True;299.98;0.0
17;18_3_31_L.lp.out;[7624, 7467, 7369, 7262, 7234, 7204, 7010, 6853, 6824, 6783, 6701, 6635, 6606, 6516, 6283, 6086, 5865, 5804, 5439, 5167, 5064, 4938, 4802, 4707, 4689, 4655, 4618, 4612, 4529, 4398, 4338, 4311, 4261, 4146, 4134, 4114, 4107, 4087, 3972, 3893, 3881, 3842, 3836, 3806, 3801, 3791];FEASIBLE;46;True;299.984;0.0
18;19_3_30_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
19;20_3_7_L.lp.out;[2669, 1621, 1444, 1440, 1223, 1203, 1176, 1142, 1055, 1014, 874, 855, 852, 850];OPTIMAL;14;False;0.042;0.0
20;21_3_9_L.lp.out;[1467, 1237, 1146, 1011, 940, 915];OPTIMAL;6;False;0.041;0.002
21;22_3_10_L.lp.out;[2495, 1656, 1642, 1560, 1363, 1348, 1294, 1243, 1224, 1218, 1154, 1090, 1083, 1077];OPTIMAL;14;False;0.137;0.006
22;23_3_44_L.lp.out;[10092, 9750, 9184, 9173, 9136, 8912, 8892, 8677, 8318, 8290, 8289, 8265, 7734, 7707, 7565, 7554, 7549, 7542, 7541, 7468, 7429, 7324, 7023, 6833, 6804, 6787, 6763, 6694, 6595, 6543, 6535, 6516, 6451, 6412];FEASIBLE;34;True;299.983;0.0
23;24_3_41_L.lp.out;[10163, 10095, 8736, 8654, 8385, 8201, 8102, 8011, 7786, 7616, 7406, 7292, 7188, 7142, 7104, 7031, 6880, 6839, 6837, 6815, 6783, 6766, 6758, 6697, 6615];FEASIBLE;25;True;299.989;0.0
