;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[2589, 2501, 2096, 2144, 1984, 1968, 1910, 1891, 1883, 1889, 1755, 1741, 1638, 1638];FEASIBLE;14;True;300.002;0.0
1;2_3_24_L.lp.out;[6287, 6287, 6287, 6287, 6287, 6287, 6287, 6287, 6287, 6287, 6239, 6239, 6239, 6239, 6239, 6239, 5810, 5810, 5810, 5810, 5810, 5810, 5810, 5810, 5810, 5810, 5713, 5713, 5713, 5546, 5546, 5546, 5546, 5546, 5546, 5546, 5488, 5450, 5450, 5367, 5080, 5179, 5044, 5014, 3747, 3747, 3747, 3747, 3747, 3575, 3584, 3584, 3584, 3584, 3512, 3512, 3512, 3512, 3512, 3512, 3512, 3192, 3192, 3192, 3192, 3192, 3154, 3154, 3154, 3154, 3154];FEASIBLE;71;True;300.002;0.0
2;3_3_28_L.lp.out;[6905, 6905, 6905, 6905, 6905, 6905, 6905, 6905, 6905, 6905, 6493, 5822, 5822, 5822, 5822, 5822, 5822, 5822, 5822, 4305, 4305, 4305, 4305, 4305, 4305, 4305, 4305, 4305, 4195, 4195, 4195, 4195, 4175, 4175, 4175, 4175, 4108, 4108, 4108, 4095, 4095, 4095, 4095, 4047, 4047, 4047, 4047, 3952, 3952, 3952, 3952, 3952, 3952, 3717, 3717, 3664, 3664, 3664, 3664];FEASIBLE;59;True;300.001;0.0
3;4_3_5_L.lp.out;[1732, 1459, 1414, 1360, 1230, 1414, 951, 1177, 951, 1177, 951, 1177, 1070, 848, 1100, 1064, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 745, 707, 732, 707, 732, 732, 732, 732, 707, 707, 732, 707, 665, 665, 665, 665, 665, 665, 665];OPTIMAL;277;False;0.251;0.003
4;5_3_47_L.lp.out;[10021, 10021, 10021, 10021, 10021, 10021, 10021, 9904];FEASIBLE;8;True;300.002;0.0
5;6_3_32_L.lp.out;[7109, 7109, 7109, 7109, 7109, 7109, 7109, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6731, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6575, 6454, 6358, 6358, 6329, 6223, 5711, 5711, 5711, 5711, 5711, 5528, 5528, 5528, 5528, 5528, 5528, 5528, 5435, 5435, 5435, 5435, 5435, 5435, 5435, 5219, 5219, 5219, 5219, 5219, 5219, 5219, 5219, 5103, 5103, 5103];FEASIBLE;78;True;300.001;0.0
6;7_3_10_L.lp.out;[2450, 2771, 2429, 2566, 2449, 1950, 1742, 1610, 1538, 1742, 1742, 1742, 1338, 1742, 1742, 1381, 1435, 1435, 1435, 1435, 1404, 1338, 1338, 1338, 1338, 1338, 1338, 1338, 1338, 1338];OPTIMAL;30;False;0.875;0.001
7;8_3_28_L.lp.out;[7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7194, 7171, 7171, 7171, 6685, 6677, 6677, 6299];FEASIBLE;20;True;300.001;0.0
8;9_3_18_L.lp.out;[3459, 3459, 3459, 3459, 3459, 3459, 2823, 3178, 2820, 2801, 2411, 2342, 2328, 2327, 2327, 2327, 2325];OPTIMAL;17;False;194.801;0.001
9;10_3_20_L.lp.out;[4163, 2543, 2240, 2100, 2101, 2043, 2046];FEASIBLE;7;True;300.001;0.0
