;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[2746, 2739, 2561, 2431, 2177, 2174, 2079, 2064, 2048, 2002, 1940, 1939, 1936, 1926, 1903, 1896, 1871, 1841, 1798, 1793, 1779, 1756, 1738, 1730, 1717];FEASIBLE;25;True;299.994;0.0
1;2_3_24_L.lp.out;[7886, 7850, 7298, 6188, 6069, 5852, 5746, 5618, 5470, 5421, 5378, 5057, 4861, 4841, 4667, 4601, 4535, 4481, 4355, 4322, 4296, 4283, 4182, 4132, 4029, 4014, 3866, 3806];FEASIBLE;28;True;299.993;0.0
2;3_3_28_L.lp.out;[7911, 7868, 7697, 7546, 7443, 7423, 7316, 7284, 7104, 7027, 7021, 6975, 6967, 6955, 6948, 6861, 6856, 6846, 6735, 6705, 6694, 6675, 6534, 6377, 6292, 6284, 6205, 6197, 6094, 6091, 6086, 5973, 5948, 5892, 5871, 5838, 5759, 5705, 5611, 5610, 5571, 5556, 5456, 5437, 5411, 5081, 5073, 4951, 4947, 4902, 4806, 4783, 4665, 4514, 4410, 4376, 4352, 4348, 4344, 4288, 4267, 4243, 4241, 4226, 4210, 4199, 4167, 4122, 4095, 4073, 4061, 4027, 4025, 4008, 3936, 3925, 3920, 3901, 3862, 3847, 3845, 3842, 3828, 3738, 3696, 3630, 3573, 3540, 3532, 3510, 3479, 3455, 3452, 3411, 3407];FEASIBLE;95;True;299.967;0.0
3;4_3_5_L.lp.out;[1647, 1230, 1017, 823, 822, 745, 732, 716, 707, 665];OPTIMAL;10;False;0.024;0.0
4;5_3_47_L.lp.out;[12657, 12568, 11445, 11328, 11071, 11011, 10964, 10939, 10881, 10772, 10432, 10431, 10358, 10333, 10019, 9939, 9889, 9745, 9692, 9683, 9524, 9472, 9449, 9167, 9088, 9021, 8150, 8091, 8087, 8051, 7529, 7003, 7000, 6975];FEASIBLE;34;True;299.973;0.0
5;6_3_32_L.lp.out;[9830, 9697, 9614, 9483, 8911, 8778, 8769, 8598, 8588, 8515, 8463, 8411, 8162, 8161, 8159, 8121, 7915, 7849, 7839, 7640, 7613, 7594, 7593, 7313, 7218, 7104, 7081, 7078, 7058, 6980, 6972, 6947, 6939, 6938, 6901, 6880, 6869, 6719, 6538, 6499, 6321, 6178, 6149, 5941, 5882, 5831, 5747, 5573, 5552, 5522, 5301, 5229, 5131];FEASIBLE;53;True;299.976;0.0
6;7_3_10_L.lp.out;[2648, 2462, 2280, 2222, 2069, 1916, 1749, 1691, 1492, 1373, 1372, 1371, 1362, 1347, 1338];OPTIMAL;15;False;0.197;0.069
7;8_3_28_L.lp.out;[8591, 8478, 8444, 8437, 8212, 7961, 7946, 7925, 7886, 7860, 7838, 7720, 7654, 7638, 7473, 7341, 7293, 7273, 7197, 7179, 7117, 7081, 7080, 7075, 6959, 6935, 6799, 6794, 6762, 6742, 6659, 6592, 6509, 6232, 6222, 6218, 6204, 6201, 6168, 6098, 6071, 6068, 5918, 5916, 5875, 5801, 5703, 5588, 5586, 5532, 5406, 5397, 5298, 5297, 4857, 4830, 4548, 4485, 4422, 4421, 4358, 4222, 4157, 4146, 3967, 3927, 3899, 3797, 3794, 3781, 3777, 3774, 3702, 3698, 3680, 3677, 3669, 3589, 3572, 3562, 3513, 3437, 3431, 3416, 3410, 3360, 3342, 3326];FEASIBLE;88;True;299.965;0.0
8;9_3_18_L.lp.out;[4639, 4411, 3628, 3613, 3461, 3453, 2476, 2469, 2409, 2382, 2325];FEASIBLE;11;True;299.998;0.0
9;10_3_20_L.lp.out;[3398, 3202, 3006, 2680, 2348, 2298, 2288, 2206, 2198, 2185, 2160, 2134, 2122];FEASIBLE;13;True;299.997;0.0
10;11_3_19_L.lp.out;[3773, 3626, 3205, 3149, 3042, 2806, 2805, 2780, 2745, 2711, 2707, 2683, 2671, 2651, 2637, 2499, 2497, 2474, 2450, 2443, 2392, 2342, 2326, 2325, 2315, 2274, 2272, 2211, 2198, 2188, 2183, 2168, 2126, 2109, 2105, 2047];FEASIBLE;36;True;299.993;0.0
11;12_3_25_L.lp.out;[8056, 6839, 6640, 6490, 6397, 5978, 5917, 5818, 5758, 5471, 4263, 3952, 3919, 3846, 3832, 3821, 3752, 3696, 3688, 3646, 3592, 3566, 3544, 3488, 3461, 3448, 3424, 3418, 3398, 3375, 3367, 3334, 3330];FEASIBLE;33;True;299.991;0.0
12;13_3_15_L.lp.out;[4558, 3910, 3510, 3477, 2842, 2828, 2737, 2694, 2559, 2493, 2341, 2159, 2140, 2112, 2016, 2004, 1852, 1846, 1845, 1794, 1790, 1785, 1756];OPTIMAL;23;False;2.947;0.36
13;14_3_29_L.lp.out;[7477, 7476, 6949, 6635, 6125, 6082, 6036, 6032, 5980, 5976, 5954, 5905, 5900, 5889, 5887, 5834, 5784, 5569, 5502, 5382, 5339, 5307, 5292, 4912, 4906, 4885, 4867, 4844, 4829, 4799, 4784, 4767, 4730, 4724, 4685, 4646, 4635, 4597, 4582, 4566, 4538, 4468, 4411, 4399, 4366, 4360, 4297, 4293, 4274, 4260, 4207, 4166, 4159, 4119, 4098, 4096, 3929, 3908, 3897, 3872, 3800, 3797, 3761, 3758, 3748, 3746, 3745, 3742, 3723, 3610, 3609, 3593, 3568, 3490, 3483, 3456, 3440, 3420, 3347, 3330, 3316, 3312];FEASIBLE;82;True;299.973;0.0
14;15_3_32_L.lp.out;[9138, 9099, 9035, 8742, 8736, 8650, 8630, 8628, 8497, 8495, 8406, 8361, 8180, 8111, 8030, 7756, 7718, 7649, 7596, 7542, 7464, 7385, 7378, 7372, 7321, 7315, 7249, 7245, 7167, 7158, 7156, 7132, 7131, 7028, 7011, 7002, 6939, 6740, 6410, 6329, 5937, 5934, 5553, 5452, 5426, 5216, 5166, 5140, 5109, 5032, 5025, 5006, 4825, 4730, 4695, 4651, 4538, 4471, 4427];FEASIBLE;59;True;299.972;0.0
15;16_3_45_L.lp.out;[13390, 13346, 13256, 13237, 13189, 13142, 13037, 13023, 12972, 12956, 12849, 12805, 12700, 12468, 12385, 12296, 12163, 12093, 11972, 11957, 11869, 11799, 11677, 11671, 11631, 11585, 11554, 11512, 11225, 11212, 11195, 11108, 10894, 10788, 10745, 10614, 10549, 10538, 10530, 10496, 10471, 10462, 10302, 10278, 10113, 10048, 9985, 9823, 9731, 9719, 9596, 9535, 9514, 9437, 9389, 9335, 9237, 9231, 8946, 8918, 8892, 8858, 8771, 8681, 8619, 7465, 7373, 7340, 7314, 7251, 7111, 7077, 7004, 6910, 6906, 6678, 6650];FEASIBLE;77;True;299.936;0.0
16;17_3_40_L.lp.out;[10583, 10204, 10188, 9961, 9858, 9821, 9730, 9675, 9661, 9657, 9654, 9637, 9611, 9595, 9469, 9338, 9313, 9266, 9260, 9245, 9121, 9115, 8997, 8946, 8911, 8777, 8739, 8633, 8562, 8504, 8425, 8367, 8335, 8322, 8297, 8276, 8263, 8130, 8082];FEASIBLE;39;True;299.971;0.0
17;18_3_31_L.lp.out;[7044, 6997, 6896, 6894, 6875, 6766, 6753, 6709, 6589, 6562, 6520, 6434, 6425, 6351, 6340, 6295, 6283, 6266, 6104, 6059, 6047, 6026, 5969, 5846, 5814, 5510, 5484, 5389, 5269, 5130, 4878, 4847, 4820, 4817, 4673, 4574, 4552, 4551, 4453, 4411, 4376, 4316, 4308, 4260, 4209, 4180, 4129, 4036, 4025, 3993, 3975, 3907, 3878, 3860, 3649, 3602, 3560, 3505];FEASIBLE;58;True;299.975;0.0
18;19_3_30_L.lp.out;[10360, 10306, 10204, 10181, 10165, 10072, 10066, 10038, 10017, 9990, 9924, 9923, 9844, 9779, 9773, 9769, 9754, 9701, 8990, 8986, 8941, 8881, 8829, 8539, 8321, 8159, 8145, 7902, 7779, 7665];FEASIBLE;30;True;299.987;0.0
19;20_3_7_L.lp.out;[2482, 2003, 1350, 1345, 1014, 902, 852, 850];OPTIMAL;8;False;0.03;0.001
20;21_3_9_L.lp.out;[2861, 2742, 2679, 1025, 967, 915];OPTIMAL;6;False;0.111;0.006
21;22_3_10_L.lp.out;[2618, 2177, 1252, 1222, 1219, 1201, 1185, 1182, 1148, 1134, 1133, 1099, 1090, 1083, 1077];OPTIMAL;15;False;0.272;0.043
22;23_3_44_L.lp.out;[12814, 12761, 12737, 12728, 12383, 12359, 11649, 11561, 11336, 11233, 11050, 11008, 10893, 10822, 10808, 10423, 10168, 10164, 10136, 9866, 9724, 9692, 9642, 9614, 9590, 9547, 9507, 9506, 9285, 9212, 9200, 9195, 9151, 8970, 8967, 8792, 8555, 8264, 8222, 7985, 7958, 7940];FEASIBLE;42;True;299.968;0.0
23;24_3_41_L.lp.out;[11043, 11026, 10977, 10600, 10323, 10205, 10153, 9326, 9256, 9243, 9107, 8887, 8879, 8681, 8664, 8663, 8533, 8411, 8318];FEASIBLE;19;True;299.989;0.0
24;25_3_33_L.lp.out;[9656, 9619, 9489, 9355, 9080, 8954, 8581, 8570, 8521, 8505, 8340, 8302, 8267, 8216, 8017, 7982, 7911, 7876, 7862, 7739, 7652, 7647, 7624, 7560, 7205, 7114, 7000, 6984, 6869, 6858, 6645, 6551, 6417, 6408, 6361, 6359, 6173, 5828, 5815, 5755, 5689, 5600, 5592, 5567, 5564, 5535, 5465, 5436, 5424];FEASIBLE;49;True;299.974;0.0
25;26_3_29_L.lp.out;[8087, 7963, 7912, 7404, 5387, 5116, 4896, 4596, 4578, 4557, 4449, 4118, 4028, 3913, 3816, 3791, 3790, 3744, 3718, 3640, 3638, 3634, 3620, 3598, 3584, 3556, 3547, 3541, 3500];FEASIBLE;29;True;299.991;0.0
26;27_3_42_L.lp.out;[11232, 11219, 11217, 11170, 10944, 10796, 10735, 10662, 10457, 10372, 10356, 10309, 10292, 10250, 10207, 10178, 10102, 10096, 10068, 9900, 9663, 9382, 9177, 9145, 8837, 8832, 8634, 8557, 8540, 8296, 8162, 8150, 8146, 8104, 8059, 7614, 7526, 7473, 7434, 7407];FEASIBLE;40;True;299.97;0.0
