;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[2828, 2743, 2690, 2645, 2582, 2513, 2418, 2392, 2342, 2326, 2259, 2218, 2182, 2168, 2099, 2046, 2003, 1976, 1949, 1906, 1892, 1880, 1864, 1855, 1852, 1844, 1842, 1777, 1773, 1752, 1743, 1737, 1698, 1689];FEASIBLE;34;True;299.996;0.0
1;2_3_24_L.lp.out;[4476, 4449, 4221, 4215, 4187, 4004, 3997, 3917, 3858, 3854, 3821, 3815, 3782, 3722, 3720, 3584, 3525, 3514, 3484, 3481, 3467, 3423, 3359, 3275];FEASIBLE;24;True;299.998;0.0
2;3_3_28_L.lp.out;[5410, 5363, 5185, 4676, 4675, 4624, 4497, 4398, 4251, 4221, 4195, 4186, 3806, 3798, 3794];FEASIBLE;15;True;300.014;0.0
3;4_3_5_L.lp.out;[1659, 1100, 801, 737, 732, 707, 665];OPTIMAL;7;False;0.024;0.0
4;5_3_47_L.lp.out;[11328, 11224, 7598, 7344, 7221, 7074, 7006, 6841, 6809, 6726, 6720, 6586, 6555, 6512, 6419, 6391, 6136, 6115, 6067, 6061, 5964, 5925];FEASIBLE;22;True;300.03;0.0
5;6_3_32_L.lp.out;[5756, 5722, 5691, 5378, 5249, 5089, 5006, 4959, 4915, 4901, 4834, 4473, 4401, 4295, 4239, 4227, 4224, 4156, 4130, 4119, 4117, 4114, 4104, 4099, 4074, 4069, 4034, 4010, 3999];FEASIBLE;29;True;299.987;0.0
6;7_3_10_L.lp.out;[1730, 1468, 1338];OPTIMAL;3;False;0.053;0.001
7;8_3_28_L.lp.out;[5859, 5255, 4972, 4873, 4855, 4851, 4673, 4517, 4460, 4279, 4275, 4206, 4155, 4025, 3998, 3929, 3811, 3616, 3584, 3549, 3481, 3457, 3384, 3371, 3340, 3310, 3288];FEASIBLE;27;True;299.99;0.0
8;9_3_18_L.lp.out;[4767, 4510, 4103, 3653, 3589, 3527, 3325, 3320, 3272, 3171, 2848, 2595, 2433, 2432, 2402, 2387, 2382, 2378, 2363, 2327, 2325];OPTIMAL;21;False;0.856;0.0
9;10_3_20_L.lp.out;[3707, 3489, 2998, 2984, 2955, 2862, 2795, 2786, 2671, 2664, 2639, 2635, 2624, 2590, 2562, 2542, 2523, 2500, 2486, 2462, 2385, 2341, 2306, 2295, 2263, 2249, 2207, 2204, 2182, 2178, 2172];FEASIBLE;31;True;299.995;0.0
10;11_3_19_L.lp.out;[3830, 3284, 3090, 2999, 2976, 2884, 2880, 2849, 2790, 2765, 2518, 2516, 2463, 2437, 2409, 2390, 2348, 2344, 2325, 2313, 2260, 2250, 2240, 2221, 2208, 2124, 2112, 2109, 2100, 2077, 2060, 2059];FEASIBLE;32;True;299.994;0.0
11;12_3_25_L.lp.out;[6694, 5224, 5113, 4598, 4320, 4289, 4258, 4070, 3986, 3888, 3871, 3868, 3640, 3612, 3600, 3455, 3448, 3440, 3394, 3393, 3378, 3364, 3363, 3358, 3311, 3303, 3271, 3199, 3172];FEASIBLE;29;True;299.994;0.0
12;13_3_15_L.lp.out;[2975, 2845, 2767, 2702, 2658, 2605, 2499, 2496, 2482, 2414, 2383, 2370, 2353, 2351, 2326, 2282, 2279, 2236, 2203, 2201, 2162, 2160, 2116, 2107, 2082, 2079, 2056, 2055, 2041, 2027, 2021, 1989, 1977, 1973, 1922, 1883, 1844, 1842, 1814, 1799, 1790, 1785, 1772, 1756];OPTIMAL;44;False;0.926;0.002
13;14_3_29_L.lp.out;[5493, 5355, 5187, 4756, 4210, 4137, 4096, 4059, 4049, 3855, 3687, 3636, 3567, 3542, 3540, 3498, 3478, 3475, 3472, 3360, 3358, 3331, 3287, 3278, 3272];FEASIBLE;25;True;299.992;0.0
14;15_3_32_L.lp.out;[7317, 5838, 5816, 5559, 5528, 5423, 5417, 5399, 5383, 5136, 5014, 4980, 4938, 4734, 4700, 4615, 4512, 4486, 4434, 4398, 4350, 4312, 4300, 4290, 4263, 4243, 4148, 4141, 4109, 4090, 4045, 4033, 3967];FEASIBLE;33;True;299.984;0.0
15;16_3_45_L.lp.out;[8494, 7806, 7569, 7449, 7440, 7141, 7019, 7014, 6942, 6931, 6851, 6762, 6717, 6602, 6380, 6061, 6035, 5996, 5990, 5989, 5983, 5954, 5940, 5861, 5855];FEASIBLE;25;True;299.98;0.0
16;17_3_40_L.lp.out;[6280, 6097, 6061, 5902, 5767, 5631, 5383, 5382, 5357, 5319, 5090, 4978, 4941, 4895, 4740, 4723, 4657, 4627, 4621];FEASIBLE;19;True;299.987;0.0
17;18_3_31_L.lp.out;[5124, 4712, 4653, 4651, 4587, 4549, 4496, 4493, 4420, 4181, 4175, 4111, 4091, 4056, 3894, 3875, 3861, 3848, 3839, 3829, 3797, 3776, 3646, 3605, 3563, 3559, 3544, 3470, 3446, 3445];FEASIBLE;30;True;299.991;0.0
