;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3024, 2999, 2712, 2689, 2682, 2651, 2624, 2538, 2514, 2507, 2449, 2431, 2411, 2361, 2345, 2343, 2341, 2313, 2240, 2238, 2190, 2169, 2065, 2060, 2052, 2013, 2009, 1949, 1943, 1926, 1908, 1892, 1888, 1878, 1855, 1828, 1810, 1793, 1777, 1766, 1758, 1755, 1750, 1744, 1723, 1719, 1716, 1706, 1697, 1690, 1671, 1648, 1641, 1638, 1637, 1632];OPTIMAL;56;False;28.513;0.119
1;2_3_24_L.lp.out;[5653, 5460, 4705, 4619, 4445, 4434, 4258, 4205, 4197, 4168, 4148, 4089, 4026, 3918, 3912, 3872, 3847, 3837, 3816, 3803, 3781, 3686, 3684, 3647, 3646, 3645, 3597, 3577, 3573, 3570, 3530, 3529, 3521, 3519, 3509, 3492, 3443, 3425, 3418, 3413, 3348, 3331, 3327, 3309, 3285, 3270, 3254, 3241, 3192, 3177, 3161, 3154, 3142, 3137];OPTIMAL;54;False;3.069;0.0
2;3_3_28_L.lp.out;[6136, 5419, 5196, 5134, 4927, 4568, 4478, 4435, 4372, 4228, 4214, 4184, 4183, 4176, 4157, 4141, 4140, 4124, 4095, 4084, 4049, 4042, 3978, 3959];FEASIBLE;24;True;299.992;0.0
3;4_3_5_L.lp.out;[732, 716, 707, 665];OPTIMAL;4;False;0.02;0.0
4;5_3_47_L.lp.out;[8093, 7879, 7303, 7287, 7210, 7168, 7162, 7133, 6882, 6825, 6683, 6340, 6330, 6151, 6127, 6121, 6113, 6102, 5997, 5991, 5863, 5848, 5824, 5815, 5621, 5607, 5544, 5443, 5434, 5421, 5287, 5267, 5227, 5178, 5177, 5174, 5172, 5167, 5161, 5160, 5156, 5149, 5127, 5123, 5047, 5031, 5027, 4993, 4991, 4983, 4980, 4979, 4951, 4924, 4917, 4915, 4874];FEASIBLE;57;True;299.951;0.0
5;6_3_32_L.lp.out;[5287, 5235, 4659, 4537, 4448, 4414, 4354, 4340, 4277, 4272, 4266, 4247, 4214, 4086, 4077, 4067, 4024, 4015, 3984, 3962, 3957, 3933, 3898, 3891, 3889, 3885, 3855, 3848, 3825, 3816, 3795, 3791, 3785, 3779, 3776, 3758, 3699, 3697, 3684, 3683, 3673, 3669, 3659, 3657, 3655, 3653, 3642, 3625, 3613, 3584, 3583, 3573, 3569, 3562, 3525, 3524, 3518, 3493, 3479, 3468, 3446, 3436, 3424, 3423, 3416, 3413, 3409, 3408, 3393, 3384, 3382, 3380, 3364, 3361, 3340, 3332, 3324, 3318, 3317, 3299, 3289, 3282, 3278, 3274, 3268, 3267, 3257, 3246, 3233, 3231, 3226, 3220];OPTIMAL;92;False;146.368;0.0
6;7_3_10_L.lp.out;[1586, 1582, 1524, 1478, 1394, 1382, 1362, 1338];OPTIMAL;8;False;0.059;0.0
7;8_3_28_L.lp.out;[3834, 3818, 3802, 3782, 3744, 3655, 3631, 3626, 3624, 3599, 3419, 3320, 3300, 3270, 3262, 3175, 3166, 3036, 2977, 2957, 2928, 2903, 2896, 2866, 2850, 2807];FEASIBLE;26;True;299.991;0.0
8;9_3_18_L.lp.out;[2932, 2876, 2743, 2681, 2657, 2592, 2411, 2356, 2325];OPTIMAL;9;False;0.134;0.001
9;10_3_20_L.lp.out;[3454, 3449, 3041, 3010, 2744, 2642, 2615, 2599, 2565, 2556, 2537, 2525, 2519, 2512, 2509, 2473, 2457, 2441, 2431, 2421, 2416, 2384, 2359, 2323, 2282, 2279, 2242, 2236, 2205, 2204, 2202, 2199, 2178, 2172, 2164, 2154, 2129, 2108, 2107, 2101, 2097, 2085, 2081, 2072, 2060, 2057, 2046, 2040, 2037];OPTIMAL;49;False;34.326;0.192
10;11_3_19_L.lp.out;[3031, 2908, 2810, 2798, 2774, 2598, 2548, 2540, 2532, 2515, 2514, 2495, 2453, 2413, 2406, 2405, 2374, 2370, 2361, 2354, 2339, 2331, 2325, 2312, 2298, 2240, 2232, 2109, 2108, 2079, 2059, 2040, 2015, 2009, 1990];OPTIMAL;35;False;0.589;0.255
11;12_3_25_L.lp.out;[4710, 4024, 3967, 3928, 3485, 3450, 3391, 3281, 3277, 3271, 3265, 3261, 3235, 3213, 3197, 3157, 3073, 3048, 3035, 3028, 3019, 3006, 2978];OPTIMAL;23;False;2.032;0.319
12;13_3_15_L.lp.out;[2856, 2822, 2308, 2081, 2062, 1951, 1946, 1916, 1852, 1808, 1795, 1790, 1785, 1779, 1756];OPTIMAL;15;False;0.122;0.0
13;14_3_29_L.lp.out;[5200, 5125, 5107, 4991, 4863, 4802, 4582, 4359, 4340, 4161, 4045, 4032, 3929, 3895, 3848, 3829, 3780, 3650, 3632, 3629, 3610, 3429, 3428, 3363, 3355, 3352, 3335, 3323, 3315, 3287, 3267, 3234, 3232, 3214, 3212, 3195, 3187, 3125, 3098, 3092, 3060, 3051, 3035, 3031, 3030, 2998, 2877, 2828, 2821, 2817, 2812];OPTIMAL;51;False;6.89;0.262
14;15_3_32_L.lp.out;[5340, 5286, 5032, 4832, 4451, 4371, 4362, 4333, 4316, 4315, 4262, 4253, 4172, 4098, 4080, 4073, 4060, 4056, 4045, 3904, 3903, 3893, 3870, 3862, 3841, 3840, 3837, 3779, 3772, 3756, 3731, 3719, 3718, 3695, 3599, 3549, 3482, 3462, 3429, 3416, 3408, 3395, 3368, 3363, 3348, 3345, 3344, 3333, 3321, 3316, 3297];FEASIBLE;51;True;299.981;0.0
15;16_3_45_L.lp.out;[7873, 7847, 7845, 7714, 7396, 7209, 7088, 7009, 6851, 6785, 6761, 6559, 6552, 6518, 6509, 6507, 6495, 6471, 6462, 6453, 6412, 6368, 6360, 6281, 6239, 6214, 6149, 6103, 6092, 6077, 6033, 6017, 6010, 5988, 5968, 5887, 5772, 5765, 5730, 5724, 5689, 5682, 5612, 5601, 5521, 5498, 5439, 5413, 5386, 5382, 5349, 5342, 5315, 5295, 5213, 5203, 5167, 5162, 5124, 5102, 5100, 5059, 4995, 4984, 4972, 4953, 4952, 4951, 4949, 4945, 4917, 4911, 4904, 4892, 4882, 4881, 4879, 4874, 4855, 4854, 4846, 4845, 4805];FEASIBLE;83;True;299.941;0.0
16;17_3_40_L.lp.out;[5496, 5478, 5373, 5310, 5257, 5177, 5163, 5131, 5100, 5049, 5037, 4944, 4926, 4870, 4866, 4865, 4841, 4822, 4773, 4760, 4720, 4681, 4676, 4673, 4661, 4646, 4630, 4615, 4589, 4585, 4582, 4580, 4570, 4551, 4506, 4496, 4442, 4408, 4404, 4387, 4349, 4345, 4316, 4311, 4272, 4262, 4253, 4227, 4220, 4181, 4170, 4169, 4147, 4143, 4123, 4083, 3948, 3947, 3941, 3930, 3920, 3916, 3912, 3904, 3901, 3889, 3869, 3858, 3854, 3847, 3822, 3815, 3799, 3795, 3762, 3756, 3750, 3748, 3745, 3727, 3719];FEASIBLE;81;True;299.951;0.0
17;18_3_31_L.lp.out;[4526, 4393, 4225, 4163, 4002, 3924, 3881, 3797, 3781, 3775, 3770, 3750, 3747, 3737, 3680, 3634, 3611, 3596, 3582, 3580, 3557, 3551, 3529, 3525, 3509, 3501, 3487, 3480, 3470, 3462, 3447];FEASIBLE;31;True;299.989;0.0
18;19_3_30_L.lp.out;[5147, 4644, 4553, 4532, 4361, 4288, 4261, 4186, 4109, 4083, 3986, 3973, 3941, 3878, 3858, 3697, 3683, 3673, 3660, 3657, 3644, 3636, 3609, 3601, 3566, 3562, 3551, 3533, 3488, 3455, 3423, 3383, 3352, 3349, 3342, 3340, 3339, 3331, 3310, 3303, 3298, 3296, 3271, 3253];OPTIMAL;44;False;12.269;0.005
19;20_3_7_L.lp.out;[1174, 1019, 985, 946, 874, 850];OPTIMAL;6;False;0.035;0.002
20;21_3_9_L.lp.out;[1321, 1011, 915];OPTIMAL;3;False;0.032;0.002
21;22_3_10_L.lp.out;[1326, 1314, 1298, 1281, 1214, 1157, 1152, 1144, 1102, 1099, 1096, 1093, 1090, 1077];OPTIMAL;14;False;0.07;0.003
22;23_3_44_L.lp.out;[6982, 6960, 6745, 6713, 6712, 6547, 6494, 6404, 6388, 6337, 6296, 6268, 6266, 6259, 6243, 6236, 6235, 6219, 6140, 6139, 5976, 5958, 5942, 5878, 5857, 5826, 5803, 5768, 5698, 5661, 5648, 5643, 5635, 5612, 5602, 5595, 5591, 5583, 5573, 5538, 5427, 5391, 5383, 5334, 5309, 5261, 5252, 5251, 5188, 5169, 5164, 5044, 5022, 4979, 4974, 4953, 4946, 4919, 4917, 4914, 4865, 4862, 4852, 4846, 4837, 4833, 4825, 4823, 4803, 4792, 4790, 4781];FEASIBLE;72;True;299.944;0.0
23;24_3_41_L.lp.out;[8255, 8236, 7220, 7102, 6950, 6907, 6670, 6648, 6614, 6474, 6450, 6420, 6405, 6376, 6325, 6309, 6304, 6085, 6075, 6060, 6055, 6045, 6034, 6015, 6000, 5986, 5967, 5891, 5861, 5813, 5777, 5718, 5644, 5638, 5603, 5497, 5370, 5345, 5339, 5335, 5317, 5293, 5290, 5237, 5227, 5210, 5180, 5178, 5158, 5139, 5130, 5120];OPTIMAL;52;False;4.793;0.002
24;25_3_33_L.lp.out;[4824, 4654, 4601, 4550, 4549, 4487, 4437, 4412, 4376, 4364, 4352, 4340, 4333, 4278, 4266, 4247, 4211, 4197, 4181, 4161, 4130, 4052, 4019, 3981, 3971, 3964, 3923, 3879, 3878, 3870, 3846, 3835, 3793, 3777, 3740, 3712, 3710, 3698, 3682, 3677, 3653, 3580, 3573, 3548, 3537, 3534, 3530, 3523, 3519, 3516, 3511, 3501, 3497, 3490, 3485, 3480, 3473, 3464, 3447, 3445, 3413, 3411, 3406, 3402, 3395, 3387, 3381, 3366, 3353, 3335, 3325, 3324, 3320, 3314, 3308, 3302, 3299, 3293, 3292, 3283, 3280, 3279, 3234, 3227, 3213, 3209, 3207, 3205, 3204, 3198, 3197, 3192, 3189, 3186, 3179, 3177, 3143, 3124, 3122, 3120, 3118, 3117, 3115, 3113, 3109, 3107, 3105, 3102, 3101, 3090, 3087];FEASIBLE;111;True;299.941;0.0
25;26_3_29_L.lp.out;[5014, 5005, 4452, 3987, 3985, 3953, 3918, 3894, 3875, 3868, 3858, 3844, 3834, 3822, 3769, 3757, 3754, 3705, 3694, 3643, 3636, 3618, 3612, 3590, 3574, 3562, 3533, 3526, 3500, 3497, 3477, 3444, 3427, 3424, 3417, 3413, 3376, 3360, 3345, 3340, 3313, 3298, 3255, 3237, 3232, 3226, 3215, 3207, 3196, 3191, 3176, 3157, 3150, 3149, 3143, 3140, 3132, 3131, 3125, 3116, 3111, 3089, 3088, 3084, 3079, 3077, 3073, 3071, 3066, 3058, 3057];OPTIMAL;71;False;34.312;0.001
26;27_3_42_L.lp.out;[6768, 6677, 6657, 6537, 6332, 6323, 6284, 6276, 6270, 6231, 6151, 6133, 6072, 6054, 6007, 5774, 5738, 5736, 5709, 5697, 5554, 5405, 5358, 5336, 5264, 5195, 5191, 5158, 5143, 5129, 5122, 5114, 4978, 4936, 4932, 4914, 4910, 4863, 4814, 4804, 4777, 4775, 4748, 4707, 4686, 4682, 4675, 4668, 4649, 4641, 4623, 4599, 4569, 4549, 4540, 4530, 4519, 4518, 4514, 4509, 4453, 4448, 4432, 4415, 4400, 4373, 4372, 4362, 4340, 4337, 4336, 4324, 4315, 4298, 4290, 4288, 4276, 4270, 4265, 4248, 4244, 4235, 4234, 4231, 4228, 4226, 4218, 4217];OPTIMAL;88;False;57.602;0.0
