;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3034, 2916, 2913, 2824, 2796, 2744, 2737, 2705, 2680, 2604, 2602, 2483, 2445, 2443, 2429, 2345, 2341, 2315, 2167, 2099, 2065, 2015, 1988, 1976, 1949, 1926, 1918, 1892, 1889, 1888, 1880, 1871, 1835, 1793, 1777, 1766, 1758, 1755, 1751, 1723, 1719];FEASIBLE;41;True;299.992;0.0
1;2_3_24_L.lp.out;[4908, 4712, 4392, 4308, 4099, 3972, 3929, 3912, 3859, 3856, 3824, 3621, 3601, 3600, 3587, 3583, 3529, 3517, 3492];FEASIBLE;19;True;299.995;0.0
2;3_3_28_L.lp.out;[6357, 5397, 5379, 5128, 4898, 4799, 4712, 4688, 4552, 4546, 4519, 4430, 4384, 4311, 4304, 4295, 4235, 4180, 4164, 4159, 4158, 4114, 4113, 4076, 4057];FEASIBLE;25;True;299.99;0.0
3;4_3_5_L.lp.out;[707, 665];OPTIMAL;2;False;0.021;0.0
4;5_3_47_L.lp.out;[7421, 7366, 7294, 7246, 7168, 7163, 7155, 7115, 7026, 7000, 6975, 6901, 6862, 6853, 6665, 6630, 6629, 6616, 6600, 6598, 6539, 6477, 6454, 6395, 6388, 6383, 6358, 6321, 6315, 6300, 6240, 6147, 6143, 6115, 6110, 6102, 6093, 6053, 6032, 6031, 6025, 5995, 5993, 5982, 5976, 5975, 5967, 5940, 5927, 5921, 5915, 5865, 5824, 5790, 5692, 5675, 5639, 5582, 5581, 5516, 5464, 5446, 5442, 5441];FEASIBLE;64;True;299.95;0.0
5;6_3_32_L.lp.out;[5561, 5114, 5070, 4704, 4591, 4578, 4493, 4436, 4431, 4423, 4412, 4389, 4360, 4096, 4083, 3870, 3823, 3760, 3752, 3741, 3662, 3632, 3628];FEASIBLE;23;True;299.99;0.0
6;7_3_10_L.lp.out;[1800, 1705, 1666, 1597, 1458, 1394, 1382, 1362, 1338];OPTIMAL;9;False;0.171;0.013
7;8_3_28_L.lp.out;[4447, 4208, 4083, 4052, 3941, 3934, 3855, 3753, 3692, 3647, 3613, 3581, 3544, 3468, 3337, 3286, 3271, 3095, 3070, 3022, 3010, 2999, 2992, 2972, 2944, 2931, 2926, 2908, 2896, 2807];FEASIBLE;30;True;299.987;0.0
8;9_3_18_L.lp.out;[2881, 2863, 2823, 2636, 2580, 2431, 2424, 2411, 2382, 2378, 2367, 2325];FEASIBLE;12;True;299.997;0.0
9;10_3_20_L.lp.out;[3849, 3826, 3405, 3260, 2843, 2644, 2638, 2624, 2563, 2477, 2441, 2437, 2434, 2433, 2427, 2384, 2358, 2355, 2285, 2264, 2263, 2256, 2252, 2249, 2245, 2205, 2199, 2161, 2158, 2154, 2145, 2144, 2108];FEASIBLE;33;True;299.993;0.0
10;11_3_19_L.lp.out;[3270, 3247, 3177, 3158, 3122, 2962, 2891, 2753, 2625, 2618, 2593, 2587, 2495, 2466, 2438, 2408, 2406, 2373, 2371, 2364, 2356, 2350, 2342, 2336, 2325, 2298, 2266, 2220, 2207, 2080, 2059];FEASIBLE;31;True;299.994;0.0
11;12_3_25_L.lp.out;[4833, 4800, 4532, 4359, 4326, 3572, 3515, 3434, 3410, 3337, 3332, 3327, 3322, 3303, 3297, 3216, 3185, 3120, 3101, 3086, 3070, 3068, 3042, 3035];FEASIBLE;24;True;299.995;0.0
12;13_3_15_L.lp.out;[2725, 2707, 2698, 2655, 2310, 2295, 2138, 2131, 2128, 2059, 1977, 1972, 1951, 1946, 1930, 1894, 1838, 1808, 1795, 1790, 1785, 1780, 1779, 1756];OPTIMAL;24;False;2.089;0.095
13;14_3_29_L.lp.out;[5067, 4821, 4411, 4332, 3986, 3931, 3917, 3676, 3667, 3665, 3638, 3635, 3594, 3583, 3575, 3523, 3384, 3291, 3286, 3240, 3180, 3153, 3120, 3112, 3092];FEASIBLE;25;True;299.992;0.0
14;15_3_32_L.lp.out;[5084, 5005, 4988, 4831, 4827, 4759, 4749, 4701, 4464, 4416, 4368, 4353, 4287, 4280, 4239, 4230, 4219, 4211, 4208, 4172, 4153, 4150, 4148, 4087, 4075, 4071, 4059, 4046, 4037, 4001, 3995, 3965, 3958, 3925, 3908, 3875, 3822, 3814, 3780, 3764, 3763, 3762, 3749, 3747, 3732, 3715, 3713, 3711, 3702, 3700, 3698, 3687, 3660, 3639, 3631, 3626, 3597, 3592, 3587, 3567, 3566, 3564, 3558, 3553, 3549, 3538, 3519, 3512, 3508, 3499, 3473, 3472, 3460, 3454, 3446, 3430, 3411, 3407, 3395];FEASIBLE;79;True;299.958;0.0
15;16_3_45_L.lp.out;[7964, 7930, 7843, 7781, 7760, 7758, 7098, 6979, 6929, 6769, 6014, 5999, 5990, 5971, 5964, 5909, 5893, 5890, 5889, 5888, 5884, 5865, 5830, 5829, 5828, 5816, 5813, 5787, 5784, 5736, 5710, 5694, 5688, 5657, 5650, 5630, 5603, 5602, 5592, 5564, 5563, 5549, 5544, 5525, 5519, 5476, 5465, 5461, 5449, 5444, 5435, 5370, 5350, 5341, 5339, 5331, 5321, 5319, 5316, 5296, 5295, 5261, 5243, 5242, 5219, 5206, 5199, 5196, 5178, 5160, 5155, 5111, 5107, 5092, 5025, 5016, 5007, 4994];FEASIBLE;78;True;299.939;0.0
