;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3246, 2997, 2630, 2524, 1981, 1926, 1902, 1888, 1777, 1766, 1758, 1750, 1671, 1666, 1662, 1638, 1637, 1632];OPTIMAL;18;False;0.999;0.186
1;2_3_24_L.lp.out;[5653, 5549, 4315, 4237, 3654, 3621, 3562, 3517, 3382, 3297, 3293, 3270, 3196, 3191, 3156, 3137];OPTIMAL;16;False;1.933;0.008
2;3_3_28_L.lp.out;[6136, 5195, 4912, 4766, 4139, 4120, 4105, 4085, 4017];FEASIBLE;9;True;299.996;0.0
3;4_3_5_L.lp.out;[732, 716, 707, 665];OPTIMAL;4;False;0.02;0.0
4;5_3_47_L.lp.out;[8093, 8091, 8017, 7915, 7402, 7235, 7212, 7087, 6969, 6456, 6453, 6451, 6423, 6133, 5616, 5596, 5589, 5511, 5443, 4899, 4886, 4880];FEASIBLE;22;True;299.977;0.0
5;6_3_32_L.lp.out;[5332, 5273, 5250, 4659, 4079, 4076, 4043, 4011, 3909, 3384, 3381, 3377, 3361, 3283, 3282, 3281, 3267, 3264, 3263, 3246, 3234, 3220];OPTIMAL;22;False;103.622;0.0
6;7_3_10_L.lp.out;[1586, 1582, 1574, 1448, 1399, 1394, 1362, 1338];OPTIMAL;8;False;0.048;0.0
7;8_3_28_L.lp.out;[4411, 4381, 3829, 3733, 3218, 3076, 3010, 2970, 2905, 2896, 2895, 2861];FEASIBLE;12;True;299.993;0.031
8;9_3_18_L.lp.out;[2932, 2876, 2557, 2432, 2397, 2395, 2358, 2349, 2325];OPTIMAL;9;False;0.126;0.001
9;10_3_20_L.lp.out;[3454, 3449, 3150, 2875, 2358, 2330, 2292, 2259, 2161, 2144, 2140, 2108, 2040, 2037];OPTIMAL;14;False;15.625;0.136
10;11_3_19_L.lp.out;[3031, 2908, 2894, 2761, 2166, 2125, 2115, 2059, 1990];OPTIMAL;9;False;0.545;0.342
11;12_3_25_L.lp.out;[4710, 4369, 4100, 4002, 3489, 3464, 3421, 3338, 3271, 3265, 3206, 3187, 3119, 3099, 3090, 3070, 3006, 2982, 2978];OPTIMAL;19;False;3.039;0.451
12;13_3_15_L.lp.out;[2744, 2732, 2715, 2395, 1852, 1795, 1790, 1780, 1779, 1772, 1756];OPTIMAL;11;False;0.152;0.001
13;14_3_29_L.lp.out;[5247, 4963, 4846, 4533, 3932, 3868, 3851, 3843, 3601, 3071, 3060, 3059, 3042, 2968, 2966, 2955, 2931, 2864, 2856, 2848, 2828, 2825, 2817, 2814, 2813, 2812];OPTIMAL;26;False;4.427;1.869
14;15_3_32_L.lp.out;[5340, 5286, 4807, 4738, 4221, 4200, 4164, 4142, 4034, 3519, 3484, 3482, 3474, 3408, 3404, 3395, 3355];FEASIBLE;17;True;299.989;0.0
15;16_3_45_L.lp.out;[7873, 7847, 7790, 7446, 6880, 6855, 6846, 6834, 6753, 6192, 6149, 6083, 6025, 5957, 5444, 5441, 5412, 5404, 5313];FEASIBLE;19;True;299.982;0.0
16;17_3_40_L.lp.out;[5496, 5478, 5373, 5306, 4764, 4749, 4741, 4713, 4574, 4042, 4029, 4024, 3977, 3910, 3903, 3899, 3871, 3795, 3794, 3793, 3777, 3775, 3762];FEASIBLE;23;True;299.979;3.388
17;18_3_31_L.lp.out;[4526, 4416, 4380, 4228, 3702, 3700, 3683, 3623, 3558, 3556, 3529, 3510];FEASIBLE;12;True;299.994;0.0
18;19_3_30_L.lp.out;[4980, 3790, 3774, 3687, 3676, 3661, 3635, 3562, 3538, 3533, 3482, 3412, 3383, 3382, 3373, 3303, 3294, 3282, 3271, 3268, 3265, 3253];OPTIMAL;22;False;4.521;0.007
19;20_3_7_L.lp.out;[1174, 1019, 978, 850];OPTIMAL;4;False;0.029;0.002
20;21_3_9_L.lp.out;[1321, 1011, 915];OPTIMAL;3;False;0.049;0.002
21;22_3_10_L.lp.out;[1326, 1281, 1225, 1157, 1152, 1144, 1099, 1093, 1090, 1077];OPTIMAL;10;False;0.061;0.005
22;23_3_44_L.lp.out;[6982, 6960, 6874, 6792, 6230, 6221, 6219, 6140, 6052, 5533, 5528, 5524, 5496, 5392];FEASIBLE;14;True;299.987;0.0
23;24_3_41_L.lp.out;[8218, 8213, 7109, 7031, 6505, 6474, 6336, 6299, 6231, 5719, 5694, 5688, 5645, 5537, 5511, 5465, 5451, 5371, 5357, 5350, 5324, 5245, 5209, 5204, 5190, 5120];OPTIMAL;26;False;2.397;0.218
24;25_3_33_L.lp.out;[4480, 4459, 4448, 4275, 3726, 3690, 3587, 3571, 3473];FEASIBLE;9;True;299.994;0.0
25;26_3_29_L.lp.out;[4980, 3994, 3983, 3914, 3393, 3392, 3391, 3375, 3242, 3231, 3218, 3204, 3135, 3132, 3127, 3106, 3100, 3095, 3084, 3076, 3071, 3057];OPTIMAL;22;False;16.825;0.022
26;27_3_42_L.lp.out;[6768, 6766, 6709, 6630, 5860, 5834, 5828, 5738, 5541, 5023, 5003, 4958, 4929, 4814, 4276, 4272, 4270, 4253, 4248, 4246, 4234, 4228, 4226, 4218, 4217];OPTIMAL;25;False;39.024;0.0
27;28_3_28_L.lp.out;[4210, 4083, 4043, 3832, 3275, 3270, 3229, 3204, 3131, 2593, 2589, 2588, 2577, 2504, 2490, 2486, 2478, 2476, 2475, 2466, 2457, 2451];OPTIMAL;22;False;8.687;0.004
