;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3719, 3684, 3503, 3315, 3081, 2990, 2783, 2782, 2636, 2534, 2511, 2476, 2431, 2421, 2378, 2372, 2348, 2265, 2060, 2039, 2015, 2007, 2006, 2003, 1942, 1892, 1882, 1873, 1862, 1844, 1837, 1798, 1777, 1760, 1755, 1751, 1750, 1743, 1702, 1692, 1681, 1672, 1659, 1658, 1650, 1642, 1632];OPTIMAL;47;False;5.678;0.166
1;2_3_24_L.lp.out;[5980, 5977, 5840, 4861, 4803, 4796, 4794, 4470, 4407, 4291, 4263, 4250, 4225, 4211, 4161, 4056, 4024, 3979, 3970, 3921, 3871, 3766, 3758, 3705, 3704, 3686, 3682, 3673, 3634, 3598, 3590, 3571, 3567, 3503, 3492, 3483, 3470, 3458, 3437, 3411, 3384, 3242, 3232, 3224, 3222, 3198, 3196, 3192, 3190, 3177, 3172, 3165, 3154, 3137];OPTIMAL;54;False;53.121;0.0
2;3_3_28_L.lp.out;[5708, 5537, 5093, 4895, 4810, 4772, 4763, 4720, 4715, 4640, 4634, 4410, 4352, 4243, 4236, 4198, 4169, 4122, 4110, 4077, 4071, 4062, 3921, 3804, 3801, 3753, 3704, 3675, 3633, 3618, 3617, 3615, 3598, 3572, 3532, 3528, 3484, 3480, 3431, 3354, 3331, 3276, 3239, 3220, 3209, 3188, 3178, 3138, 3132, 3131, 3119, 3104, 3078, 3055, 3040, 3009, 2970, 2960, 2959, 2931, 2910, 2895, 2888, 2871, 2860, 2834, 2830, 2827, 2818, 2810, 2791, 2769, 2768, 2767, 2757, 2732, 2728, 2722, 2721];OPTIMAL;79;False;222.564;1.303
3;4_3_5_L.lp.out;[1443, 1414, 951, 877, 848, 665];OPTIMAL;6;False;0.02;0.001
4;5_3_47_L.lp.out;[9131, 9105, 8655, 8493, 8325, 8190, 7613, 7594, 7506, 7496, 7263, 7167, 7035, 6979, 6959, 6956];FEASIBLE;16;True;299.986;0.0
5;6_3_32_L.lp.out;[8141, 7996, 7995, 7589, 7585, 7201, 7073, 6970, 6926, 6924, 6440, 6294, 6078, 6073, 6057, 5989, 5963, 5567, 5258, 5107, 5102, 5096, 4970, 4923, 4910, 4897, 4808, 4580, 4573, 4550, 4546, 4538, 4351, 4345, 4339, 4291, 4273, 4271, 4240, 4209, 4198, 4084, 4083, 4062, 4018, 4006, 3956, 3892, 3877, 3831, 3827, 3772, 3764, 3761, 3720, 3688, 3687, 3677, 3658, 3648, 3600, 3570, 3506, 3490, 3461, 3413, 3389, 3386, 3384, 3383, 3382, 3315, 3298, 3283, 3282, 3260, 3250, 3249, 3231, 3227, 3222, 3220];OPTIMAL;82;False;77.907;0.0
6;7_3_10_L.lp.out;[1814, 1767, 1735, 1725, 1478, 1468, 1421, 1372, 1362, 1351, 1338];OPTIMAL;11;False;0.081;0.001
7;8_3_28_L.lp.out;[6563, 6551, 6548, 6159, 6092, 6076, 5923, 5901, 5675, 5490, 5378, 5152, 5050, 4968, 4966, 4896, 4821, 4742, 4670, 4652, 4604, 4593, 4582, 4566, 4467, 4412, 4371, 4328, 4290, 4277, 4268, 4239, 4235, 4189, 4009, 3999, 3877, 3573, 3565, 3559, 3555, 3554, 3471, 3452, 3434, 3428, 3412, 3365, 3319, 3308, 3301, 3293, 3284, 3282, 3229, 3188, 3010, 2988, 2962, 2954, 2944, 2897, 2888, 2866, 2849, 2838, 2837, 2832, 2824, 2810, 2789, 2784, 2746, 2719, 2718, 2707, 2702, 2689, 2665, 2657, 2650, 2645, 2634, 2629, 2628, 2625, 2622, 2621, 2619, 2611, 2608, 2604, 2598, 2562, 2547];FEASIBLE;95;True;299.964;0.0
8;9_3_18_L.lp.out;[3997, 3859, 3808, 3594, 3384, 3342, 3180, 3130, 3095, 3089, 2994, 2796, 2747, 2382, 2377, 2367, 2325];OPTIMAL;17;False;1.554;0.002
9;10_3_20_L.lp.out;[4528, 4479, 4451, 3617, 3264, 3141, 2979, 2878, 2877, 2870, 2851, 2674, 2641, 2610, 2605, 2571, 2536, 2531, 2523, 2460, 2396, 2387, 2385, 2383, 2381, 2362, 2334, 2296, 2294, 2285, 2264, 2262, 2256, 2247, 2228, 2205, 2190, 2187, 2175, 2163, 2157, 2145, 2138, 2117, 2108, 2065, 2060, 2057, 2043, 2037];OPTIMAL;50;False;13.984;0.007
10;11_3_19_L.lp.out;[4617, 3999, 3946, 3724, 3719, 3566, 3374, 3350, 3278, 3214, 3139, 3025, 3018, 2846, 2824, 2792, 2578, 2528, 2466, 2463, 2419, 2410, 2380, 2311, 2284, 2279, 2225, 2224, 2190, 2185, 2180, 2067, 2066, 2064, 2059, 2054, 2040, 2035, 2029, 2015, 1990];OPTIMAL;41;False;12.452;0.313
11;12_3_25_L.lp.out;[5960, 5921, 4636, 4571, 4490];FEASIBLE;5;True;299.999;0.0
12;13_3_15_L.lp.out;[2904, 2849, 2796, 2759, 2676, 2478, 2375, 2298, 2199, 2178, 2170, 2093, 2078, 2074, 2066, 2048, 1935, 1917, 1886, 1842, 1834, 1831, 1816, 1799, 1790, 1756];OPTIMAL;26;False;0.415;0.001
13;14_3_29_L.lp.out;[6243, 5882, 5816, 5763, 5473, 5471, 5296, 5215, 5184, 5158, 5052, 5009, 4963, 4920, 4888, 4813, 4744, 4652, 4534, 4422, 4410, 4399, 4385, 4370, 4199, 4150, 3999, 3939, 3902, 3897, 3893, 3892, 3889, 3831, 3830, 3826, 3726, 3719, 3522, 3521, 3507, 3413, 3399, 3373, 3356, 3354, 3344, 3341, 3309, 3303, 3296, 3277, 3276, 3232, 3166, 3137, 3075, 3071, 3069, 3056, 2974, 2958, 2949, 2947, 2931, 2924, 2918, 2897, 2887, 2879, 2871, 2859, 2856, 2836, 2812];OPTIMAL;75;False;77.792;3.288
14;15_3_32_L.lp.out;[8397, 8345, 7396, 7103, 7068, 7033, 6964, 6828, 6818, 6748, 6637, 6413, 6243, 6190, 6010, 5961, 5895, 5838, 5816, 5810, 5358, 5345, 5334, 5262, 5207, 5145, 5130, 5127, 5123];FEASIBLE;29;True;299.986;0.0
15;16_3_45_L.lp.out;[8142];FEASIBLE;1;True;299.999;0.0
16;17_3_40_L.lp.out;[8026, 8023, 7948, 7877, 7874, 7362, 7149, 6913, 6909, 6725, 6314, 5958, 5821, 5796, 5788, 5683, 5680, 5662];FEASIBLE;18;True;299.985;0.0
17;18_3_31_L.lp.out;[7857, 7854, 7840, 7040, 6629, 6129, 6085, 5574, 5328, 5305, 5051, 4929, 4850, 4822, 4703, 4628, 4394, 4390, 4389, 4275, 4263, 4094, 3964, 3956, 3947, 3936, 3928, 3920, 3911, 3895, 3875, 3843, 3806, 3758, 3755, 3740, 3609, 3552, 3486, 3482, 3448, 3445, 3415, 3407, 3404, 3389, 3370, 3296];OPTIMAL;48;False;69.819;0.0
