;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[3462, 3427, 3093, 2933, 2720, 2706, 2548, 2476, 2443, 2382, 2341, 2331, 2306, 2283, 2272, 2269, 2247, 2240, 2156, 2096, 2065, 2052, 2045, 2040, 2019, 2015, 1926, 1918, 1906, 1892, 1888, 1878, 1818, 1817, 1814, 1812, 1793, 1777, 1766, 1758, 1757, 1750, 1749, 1748, 1744, 1732, 1723, 1719, 1695, 1689, 1671, 1659, 1644, 1638, 1637, 1632];OPTIMAL;56;False;18.728;0.278
1;2_3_24_L.lp.out;[4929, 4402, 3977, 3940, 3885, 3859, 3839, 3765, 3727, 3689, 3688, 3655, 3643, 3593, 3530, 3509, 3492, 3425, 3412, 3403, 3384, 3371, 3351, 3313, 3285, 3278, 3275, 3234, 3194, 3192, 3182, 3177, 3154, 3150, 3142, 3137];OPTIMAL;36;False;10.242;0.002
2;3_3_28_L.lp.out;[5756, 5209, 5105, 5087, 4730, 4303, 4301, 4292, 4284, 4276, 4225, 4185, 4077, 4058, 4055, 4011, 4006, 3988, 3981, 3980, 3968];FEASIBLE;21;True;299.993;0.0
3;4_3_5_L.lp.out;[732, 716, 707, 665];OPTIMAL;4;False;0.023;0.0
4;5_3_47_L.lp.out;[8556, 8472, 7871, 7682, 7607, 7347, 7300, 7225, 7005, 6865, 6862, 6728, 6684, 6560, 6507, 6350, 6286, 6242, 6174, 6145, 6119, 6036, 6011, 5958, 5863, 5848, 5835, 5804, 5800, 5748, 5722, 5715, 5712, 5688, 5615, 5577, 5576, 5551, 5520, 5485, 5479, 5394, 5374, 5334, 5319, 5309, 5300, 5267, 5188, 5185, 5099, 5095, 5089, 5077, 5069, 5042, 5031, 5029, 4997, 4931, 4930, 4919, 4914, 4874];FEASIBLE;64;True;299.942;0.0
5;6_3_32_L.lp.out;[5023, 4881, 4815, 4777, 4670, 4397, 4365, 4273, 4267, 4264, 4246, 4180, 4094, 4066, 4043, 4033, 3916, 3868, 3853, 3824, 3810, 3803, 3770, 3740, 3724, 3647, 3643, 3638, 3630, 3628, 3625, 3619, 3599, 3597, 3564, 3551, 3526, 3511, 3510, 3507, 3505, 3496, 3490, 3463, 3453, 3451, 3450, 3447, 3446, 3444, 3428, 3421, 3412, 3401, 3398, 3393, 3390, 3384, 3383, 3379, 3377, 3376, 3374, 3369, 3362, 3333, 3329, 3327, 3318, 3306, 3301, 3299, 3296, 3290, 3283, 3282];FEASIBLE;76;True;299.964;0.0
6;7_3_10_L.lp.out;[2197, 1912, 1640, 1513, 1502, 1448, 1394, 1362, 1338];OPTIMAL;9;False;0.056;0.0
7;8_3_28_L.lp.out;[4227, 3811, 3724, 3625, 3609, 3608, 3462, 3392, 3384, 3377, 3335, 3308, 3285, 3261, 3199, 3189, 3150, 3078, 3062, 3039, 3035, 3033, 3005, 2972, 2944, 2936, 2886, 2866, 2847, 2835, 2825, 2807];FEASIBLE;32;True;299.988;0.0
8;9_3_18_L.lp.out;[2987, 2933, 2909, 2873, 2755, 2592, 2548, 2519, 2486, 2474, 2455, 2432, 2428, 2425, 2411, 2405, 2404, 2386, 2378, 2367, 2325];OPTIMAL;21;False;0.351;0.002
9;10_3_20_L.lp.out;[3421, 3340, 3238, 3235, 3127, 2930, 2838, 2751, 2721, 2711, 2704, 2693, 2659, 2657, 2580, 2574, 2538, 2526, 2520, 2490, 2483, 2452, 2440, 2434, 2431, 2384, 2335, 2332, 2311, 2308, 2307, 2290, 2286, 2252, 2244, 2236, 2214, 2199, 2193, 2172, 2161, 2158, 2144, 2142, 2108, 2062, 2060, 2037];OPTIMAL;48;False;33.596;0.473
10;11_3_19_L.lp.out;[4075, 3041, 2996, 2934, 2854, 2740, 2728, 2646, 2569, 2538, 2438, 2420, 2398, 2390, 2374, 2342, 2325, 2298, 2248, 2206, 2135, 2081, 2059, 2040, 2015, 1997, 1990];OPTIMAL;27;False;0.826;0.455
11;12_3_25_L.lp.out;[4599, 4491, 4468, 4395, 3986, 3738, 3712, 3609, 3451, 3432, 3413, 3397, 3204, 3199, 3168, 3105, 3076, 3061, 3044, 3037, 3035, 3024, 3019, 3014, 3006, 3001, 2980, 2978];OPTIMAL;28;False;8.251;0.689
12;13_3_15_L.lp.out;[2928, 2896, 2660, 2583, 2530, 2308, 2191, 2085, 2081, 2052, 2011, 1982, 1951, 1946, 1944, 1930, 1916, 1911, 1894, 1852, 1847, 1838, 1795, 1790, 1785, 1779, 1756];OPTIMAL;27;False;0.251;0.001
13;14_3_29_L.lp.out;[4935, 4803, 4781, 4549, 4500, 4010, 4004, 3995, 3963, 3935, 3910, 3789, 3757, 3645, 3621, 3618, 3424, 3333, 3280, 3274, 3249, 3196, 3195, 3174, 3171, 3143, 3142, 3107, 3099, 3088, 3071, 3060, 3057, 3026, 3015, 3002, 3001, 2968, 2966, 2957, 2946, 2942, 2938, 2903, 2894, 2893, 2882, 2857, 2849, 2828, 2817, 2812];OPTIMAL;52;False;4.24;0.627
14;15_3_32_L.lp.out;[5161, 5068, 5016, 5000, 4850, 4797, 4588, 4544, 4523, 4493, 4371, 4349, 4335, 4318, 4310, 4147, 4058, 3974, 3971, 3949, 3856, 3839, 3785, 3771, 3732, 3696, 3668, 3617, 3610, 3609, 3591, 3534, 3531, 3519, 3517, 3472, 3466, 3453, 3395];FEASIBLE;39;True;299.981;0.0
15;16_3_45_L.lp.out;[8080, 7987, 7892, 7869, 7771, 6345, 6334, 6277, 6225, 6130, 6089, 6078, 6053, 6025, 6022, 5990, 5835, 5826, 5815, 5646, 5637, 5615, 5593, 5579, 5524, 5518, 5499, 5481, 5460, 5410, 5379, 5372, 5369, 5367, 5353, 5286, 5264, 5250, 5246, 5232, 5221, 5212, 5177, 5146, 5133, 5110, 5018, 5007, 4999, 4963, 4959, 4955, 4950, 4904, 4894, 4871, 4870, 4860, 4844, 4833, 4820, 4814, 4808, 4805];FEASIBLE;64;True;299.947;0.0
16;17_3_40_L.lp.out;[5871, 5867, 5834, 5785, 5715, 5669, 5666, 5621, 5606, 5562, 5469, 5431, 5400, 5209, 5173, 5142, 5126, 5091, 4972, 4967, 4947, 4936, 4860, 4846, 4824, 4819, 4802, 4797, 4796, 4795, 4718, 4582, 4533, 4496, 4448, 4444, 4402, 4244, 4131, 4130, 4127, 4089, 4062, 4052, 4049, 4035, 4032, 4020, 4005, 3991, 3988, 3977, 3946, 3927, 3910, 3898, 3883, 3855, 3833, 3832, 3826, 3810, 3808, 3787, 3762, 3758, 3750, 3748, 3745, 3742];FEASIBLE;70;True;299.944;0.0
17;18_3_31_L.lp.out;[4879, 4834, 4218, 4212, 3934, 3880, 3862, 3857, 3817, 3803, 3755, 3679, 3648, 3598, 3577, 3548, 3542, 3512, 3510, 3491, 3490, 3469, 3453, 3450, 3446];FEASIBLE;25;True;299.989;0.0
